term,estimate,std.error,statistic,p.value,conf.low,conf.high,year,variable
race5Hispanic,0.8483867905302681,0.045584073564152054,-3.6069313998896515,3.098395324565138e-4,0.7758753443249928,0.927674982341959,2006,race5
race5Other,0.8330461098227216,0.048699436570804513,-3.750891124845953,1.7620720576017312e-4,0.7572080865982613,0.9164796749707129,2006,race5
race5White,1.1959533857275035,0.04367497489652663,4.0971673148893455,4.182366148312711e-5,1.0978357358311006,1.3028401737626873,2006,race5
educ20032,0.8800490119440938,0.01770853535883117,-7.2155983022095445,5.36973529707022e-13,0.8500276445954996,0.9111306771585393,2006,educ2003
educ20033,0.904868065919494,0.013884431530782832,-7.199871971884427,6.026912264699275e-13,0.8805754936270476,0.9298308011597565,2006,educ2003
educ20034,0.8420181491108598,0.017809906111164755,-9.654947596878367,4.68398692756539e-22,0.8131325649670987,0.8719298598756351,2006,educ2003
educ20035,0.8319071275330131,0.024620194263033884,-7.474939798875875,7.723920538200118e-14,0.7927161620737536,0.8730356487620589,2006,educ2003
educ20036,0.8584592490843435,0.019094374312633867,-7.992724184116529,1.3198919870891191e-15,0.8269251954083952,0.8911958257294299,2006,educ2003
educ20037,0.8094838707225097,0.02777067864297654,-7.610848613670506,2.7230203298742486e-14,0.7666008929705906,0.8547656844237917,2006,educ2003
educ20038,0.782628169765005,0.039626305479109114,-6.185223976612545,6.201435637734732e-10,0.7241439115478271,0.8458358101782752,2006,educ2003
educ20039,0.9722254131646934,0.03139439795382567,-0.8972172328724002,0.3696030113590229,0.9142048436594223,1.033928293597394,2006,educ2003
race5Black,0.8625327545615152,0.04531762757256091,-3.2632368995423304,0.0011014740429559269,0.789224307968705,0.9426505813110047,2007,race5
race5Hispanic,0.7710871708096543,0.04651198668546956,-5.588964658891194,2.2842743206442922e-8,0.703901150641369,0.8446859682577327,2007,race5
race5Other,0.70585763589521755,0.04967473021436896,-7.012452995580247,2.341755471599779e-12,0.6403731780116221,0.7780385238785611,2007,race5
race5White,1.0319272849697159,0.04459501468877754,0.7047470327254667,0.4809676763215713,0.9455599148009984,1.1261834441121392,2007,race5
educ20032,0.8529968127264279,0.017543105879050717,-9.063359084728278,1.2649378260736888e-19,0.8241654704614819,0.8828367465019269,2007,educ2003
educ20033,0.9024720702508574,0.013667451550006818,-7.508169022511276,5.99600582930634e-14,0.8786174017748969,0.9269743985693709,2007,educ2003
educ20034,0.8175463867129542,0.017592433038066655,-11.450811563590484,2.329542224971136e-30,0.7898369048287373,0.8462279875012103,2007,educ2003
educ20035,0.8286848299595182,0.023967249076927898,-7.840506706486321,4.487319649382392e-15,0.7906568800277355,0.8685417970193925,2007,educ2003
educ20036,0.8213122366742975,0.018812820918399052,-10.463711425729572,1.2678984336875919e-25,0.7915794242557987,0.852161854440718,2007,educ2003
educ20037,0.8562074125118888,0.026814150382868218,-5.789578473991725,7.056328392415573e-9,0.8123708245349748,0.9024094798824748,2007,educ2003
educ20038,0.7604482013762214,0.038820896850322584,-7.054120411802458,1.7369592063014654e-12,0.7047330229778013,0.8205681415819586,2007,educ2003
educ20039,0.9726765187095312,0.03011808350170863,-0.9198364071801447,0.35765825478759405,0.9169199066134901,1.0318236121006183,2007,educ2003
race5Black,0.8651920605593204,0.04508558712779177,-3.211752814870161,0.0013192783429787757,0.7920177212216041,0.94512696066991,2008,race5
race5Hispanic,0.7637120723131764,0.046231660359177085,-5.830732174752926,5.518469680534734e-9,0.6975518132246594,0.8361473919773728,2008,race5
race5Other,0.6947484797678953,0.04933807954161549,-7.381831678838548,1.5612650060431078e-13,0.6307106783949069,0.7652882164103525,2008,race5
race5White,1.0143587508946426,0.0443688087400652,0.3213212328356222,0.7479669673913569,0.9298739638073051,1.1065195021739096,2008,race5
educ20032,0.9076320535726239,0.016100419560514535,-6.019483497699544,1.749744936797784e-9,0.8794372785967985,0.9367307535414923,2008,educ2003
educ20033,0.8968361784917179,0.012653177750296356,-8.605116313476147,7.623940994291411e-18,0.874867970674857,0.9193560148638139,2008,educ2003
educ20034,0.8606634055492842,0.016281349692105786,-9.216176063296071,3.078844331732845e-20,0.833631991911125,0.8885713418381661,2008,educ2003
educ20035,0.8479659531308394,0.021752784606113303,-7.581318741130891,3.420600832014888e-14,0.8125724078183271,0.8849011494245267,2008,educ2003
educ20036,0.8283022742914797,0.017392835580273106,-10.830731123643558,2.4618175574103237e-27,0.8005413574281814,0.857025875340848,2008,educ2003
educ20037,0.8183605536835937,0.02482988959009621,-8.07302280142417,6.857879430294707e-16,0.7794873270466035,0.8591723977897048,2008,educ2003
educ20038,0.8039241944673732,0.035573686681852415,-6.13516112874539,8.507292378337681e-10,0.7497805422280851,0.8619777042085611,2008,educ2003
educ20039,1.0225384689765344,0.01776770859823635,1.2544234713677782,0.2096881257508213,0.9875417761353568,1.0587753812589726,2008,educ2003
race5Black,0.8793344943202496,0.04519199445414257,-2.845413565466732,0.004435379504861585,0.804796182388931,0.9607763677583814,2009,race5
race5Hispanic,0.7647473089066198,0.04630895754992775,-5.791748056242569,6.965758216236978e-9,0.6983915513543815,0.837407676747732,2009,race5
race5Other,0.7097111077682168,0.049313748271807775,-6.953381039431056,3.566336988912544e-12,0.6443248665994167,0.7817327602889779,2009,race5
race5White,1.0200824198677492,0.04446621736595931,0.4471580674379936,0.6547609353230461,0.9349423978080333,1.1129756718305304,2009,race5
educ20032,0.9072532666541483,0.016530541555864933,-5.888109107357473,3.906392046060475e-9,0.8783294800413226,0.9371295266280923,2009,educ2003
educ20033,0.9270285905719109,0.012915253495306055,-5.866773879314863,4.4435600772423e-9,0.9038564109037789,0.9507948357399327,2009,educ2003
educ20034,0.8743855769770016,0.016412256110620388,-8.1788777920993585,2.86499488347448e-16,0.8467059094241502,0.9029701206944205,2009,educ2003
educ20035,0.9069245665640644,0.021545922602247178,-4.534315016129669,5.779072432377529e-6,0.8694225627314429,0.9460441961079895,2009,educ2003
educ20036,0.8273558045335118,0.017435251291160574,-10.869957541204,1.602754187068104e-27,0.7995601349928274,0.8561177544218548,2009,educ2003
educ20037,0.8292886669034895,0.024403919452624625,-7.670365157544147,1.7150738345974382e-14,0.7905561011895466,0.8699188988861862,2009,educ2003
educ20038,0.8269637965106367,0.034714780340445804,-5.4730106296231895,4.424535619910816e-8,0.7725679358140894,0.88518962415734,2009,educ2003
educ20039,0.9109939825836119,0.018588478217130795,-5.014879967151333,5.306658410506733e-7,0.8784007061375905,0.94479664065019,2009,educ2003
race5Black,0.830196420101101,0.04363708587118391,-4.264559645756021,2.0029683439970955e-5,0.7621425679321314,0.9043269920202895,2010,race5
race5Hispanic,0.7467677771661206,0.044737907860114036,-6.526926047471907,6.71331714842213e-11,0.6840752754910167,0.8152057719281685,2010,race5
race5Other,0.7054297732591281,0.04762930475468042,-7.326331052753178,2.36539057608393e-13,0.6425558809430114,0.7744558563063874,2010,race5
race5White,0.983689507936907,0.04286791884043498,-0.3836195663957316,0.7012604357286483,0.9044157775884526,1.0699117286579156,2010,race5
educ20032,0.8946336004332567,0.015613683116541485,-7.130990727038132,9.96490335549214e-13,0.8676699761517253,0.9224351435714715,2010,educ2003
educ20033,0.9040109521838855,0.01215650085557343,-8.301221265445175,1.0304657210325348e-16,0.8827259004427496,0.9258092475348391,2010,educ2003
educ20034,0.8621957764346928,0.01542473574849791,-9.61267134101215,7.069074294882287e-22,0.8365195418853866,0.8886601205111777,2010,educ2003
educ20035,0.8666862344891255,0.01999615249210299,-7.155289783641152,8.349635004693572e-13,0.8333756946354496,0.9013282171392327,2010,educ2003
educ20036,0.8530814262311662,0.016347994862835107,-9.719863428291049,2.4811405205904426e-22,0.8261802182783581,0.8808585629139412,2010,educ2003
educ20037,0.8461813548146617,0.02279507874836536,-7.327089184461811,2.3520531058281727e-13,0.8092074805914427,0.8848446194697084,2010,educ2003
educ20038,0.7924490126053788,0.03261692006319433,-7.132099298652198,9.884951661541912e-13,0.7433737919605675,0.8447640263494129,2010,educ2003
educ20039,1.0128443275209664,0.025726053592805654,0.4960939190889291,0.6198281493144815,0.9630398121015961,1.0652245305962242,2010,educ2003
race5Black,0.8240701074339429,0.043893657237355915,-4.408374308120566,1.0414943462164033e-05,0.7561381064177939,0.8981051691514241,2011,race5
race5Hispanic,0.7242693110687718,0.04496474665838746,-7.174331073164621,7.266157940478963e-13,0.6631706822753981,0.7909970222992974,2011,race5
race5Other,0.6709834739635167,0.04780381372323245,-8.346839722670053,7.011376346986813e-17,0.6109707176913497,0.7368909986936409,2011,race5
race5White,0.951990494777857,0.04313048145852793,-1.1407298748790065,0.25398235037624056,0.8748210110265154,1.0359672329816962,2011,race5
educ20032,0.8705044221376385,0.01543002278992157,-8.987831170287873,2.521569975726908e-19,0.8445720036839381,0.8972330904361412,2011,educ2003
educ20033,0.9011025051499985,0.011918925943324688,-8.737050648530683,2.3927522590677657e-18,0.8802957446607247,0.9224010563637915,2011,educ2003
educ20034,0.8545667820208505,0.01503357296360279,-10.453977010679482,1.4050683246176083e-25,0.829753650263741,0.8801219310109061,2011,educ2003
educ20035,0.8653727235876784,0.01933455623422025,-7.478577154081358,7.513158781071546e-14,0.8331923919511464,0.8987959539283285,2011,educ2003
educ20036,0.854743429758301,0.015894540223993666,-9.874707605328489,5.358901918422885e-23,0.8285258546103831,0.8817906244561844,2011,educ2003
educ20037,0.8355962268368948,0.022084119056449317,-8.132982998522573,4.188533924179112e-16,0.8001991552972517,0.8725590994215506,2011,educ2003
educ20038,0.8167221409890584,0.03175700961135258,-6.37517011691113,1.8275997202900548e-10,0.767436086800754,0.8691734296238934,2011,educ2003
educ20039,1.0467832761325904,0.025675128874514182,1.7807862070569767,0.07494738354993698,0.995409232704091,1.1008087841562326,2011,educ2003
