draw,err,p_garb,p_light,p_over,p_acc,prop_garbage,prop_light,pct_overd_miss,pct_acc_miss
46,0,0.07003919062394455,0.05631972027814524,0.2841540095172902,0.1973944626418055,0.37825059101654845,0.2765957446808511,0.004728132387706856,0.06619385342789598
47,0,0.16721432073520937,0.4773638388821107,0.35871280744026046,0.3543302197243753,0.43498817966903075,0.5981087470449172,0.0070921985815602835,0.06619385342789598
48,0,0.078335512032217,0.43469424252780214,0.13353086155243665,0.37346799366207395,0.3829787234042553,0.5791962174940898,0.002364066193853428,0.06619385342789598
49,0,0.17223888124006043,0.18162143679271892,0.07260873455149514,0.047750705557909515,0.43498817966903075,0.35224586288416077,0.002364066193853428,0.06619385342789598
50,0,0.10888274145489799,0.28639868543737723,0.13622174978585075,0.35294293328470794,0.40189125295508277,0.425531914893617,0.002364066193853428,0.06619385342789598
51,0,0.002681784321975694,0.1834559077766791,0.3793934583928994,0.28345302393618715,0.3191489361702128,0.3617021276595745,0.014184397163120567,0.06619385342789598
52,0,0.0857143103211598,0.0355628541198265,0.21331018814084102,0.36892252693322625,0.39243498817966904,0.2624113475177305,0.002364066193853428,0.06619385342789598
53,0,0.17297167414289627,0.03664163386483208,0.3150824269133492,0.35135813054686676,0.4444444444444444,0.25059101654846333,0.016548463356973995,0.06619385342789598
54,0,0.09631446540202221,0.497324992889445,0.2673151678409323,0.2926324332290204,0.3829787234042553,0.607565011820331,0.009456264775413711,0.06619385342789598
55,0,0.14962144473596956,0.31292371477189773,0.38447148063454506,0.24447419160293227,0.41134751773049644,0.4657210401891253,0.0070921985815602835,0.06619385342789598
56,0,0.16348653803700583,0.48652956092221405,0.3480517122882317,0.3963227221824057,0.4302600472813239,0.5626477541371159,0.009456264775413711,0.06619385342789598
57,0,0.03421919022630704,0.08001460813522304,0.007771412938938917,0.18378128312213976,0.3333333333333333,0.29550827423167847,0,0.06619385342789598
58,0,0.10815430527927716,0.09850702574231229,0.31661404125758463,0.07500524939994606,0.40189125295508277,0.30023640661938533,0.009456264775413711,0.06619385342789598
59,0,0.003192957133086185,0.0956024384091858,0.31366804271073856,0.1631108780221694,0.3215130023640662,0.28132387706855794,0.0070921985815602835,0.06619385342789598
60,0,0.054874722755966325,0.07825121953530556,0.011842554915522094,0.06498435091151507,0.3546099290780142,0.30260047281323876,0,0.06619385342789598
61,0,0.020606015037291484,0.20893236085724345,0.09623422734828652,0.26696036735730166,0.3333333333333333,0.3877068557919622,0.002364066193853428,0.06619385342789598
62,0,0.009203643145588641,0.3748403331187529,0.17745127866740015,0.03641483261582563,0.3191489361702128,0.5342789598108747,0.009456264775413711,0.06619385342789598
63,0,0.12385138779903966,0.4239978734849854,0.21710388147216464,0.356684108402183,0.4066193853427896,0.5531914893617021,0.0070921985815602835,0.06619385342789598
64,0,0.041543861301877344,0.0194297582007455,0.3894105740351136,0.16187874397048235,0.33569739952718675,0.2458628841607565,0.01182033096926714,0.06619385342789598
65,0,0.19811841701358346,0.40091855868023363,0.1982456981286186,0.22916580468101602,0.45390070921985815,0.5271867612293144,0.004728132387706856,0.06619385342789598
66,0,0.05375019432512123,0.39604412796375776,0.33739487048660716,0.39821150256972593,0.35933806146572106,0.574468085106383,0.0070921985815602835,0.06619385342789598
67,0,0.17841517126894457,0.20373984563115238,0.009226017053940229,0.3849700534888011,0.43498817966903075,0.38534278959810875,0,0.06619385342789598
68,0,0.17983443448449543,0.4298704559712333,0.17757072135217258,0.11176898247747412,0.38534278959810875,0.5602836879432624,0.002364066193853428,0.06619385342789598
69,0,0.10628682433340222,0.19369700301647574,0.3205476502594332,0.09640145452029597,0.37825059101654845,0.3640661938534279,0.0070921985815602835,0.06619385342789598
70,0,0.1332008729469454,0.4550261766755592,0.05834163281485896,0.12427392048970226,0.3971631205673759,0.5508274231678487,0.002364066193853428,0.06619385342789598
71,0,0.09326051603960511,0.01157039727704661,0.2719917045380628,0.2597022901331253,0.3829787234042553,0.2293144208037825,0.0070921985815602835,0.06619385342789598
72,0,0.062185697847657186,0.48864610857292795,0.10549227007254779,0.3393252091900547,0.35933806146572106,0.5933806146572104,0.004728132387706856,0.06619385342789598
73,0,0.0024298829737621503,0.20677027001702605,0.03529250094220979,0.01869422874608999,0.31678486997635935,0.39243498817966904,0,0.06619385342789598
74,0,0.13919241604209473,0.05609075694039405,0.22230703305449873,0.07985891155215298,0.4160756501182033,0.27423167848699764,0.0070921985815602835,0.06619385342789598
75,0,0.0472154455773562,0.07959278313333609,0.3330764729715666,0.37929179111791145,0.35224586288416077,0.2765957446808511,0.004728132387706856,0.06619385342789598
76,0,0.09640694829929744,0.12517906237329474,0.2413341400673383,0.39979114401074084,0.3664302600472813,0.2978723404255319,0.01182033096926714,0.06619385342789598
77,0,0.0350510248659675,0.0701626503360065,0.20516747941142782,0.25723481697608763,0.3380614657210402,0.28132387706855794,0.004728132387706856,0.06619385342789598
78,0,0.026865811456946845,0.20340462525099565,0.17790322429590644,0.03057186937866473,0.3380614657210402,0.3947990543735225,0.002364066193853428,0.06619385342789598
79,0,0.09004414084581225,0.0867846130978315,0.10575518235496198,0.26119679322674244,0.40189125295508277,0.28841607565011823,0,0.06619385342789598
80,0,0.1877398178097518,0.339253953323891,0.257022448782965,0.38382385099198696,0.44208037825059104,0.48936170212765956,0.009456264775413711,0.06619385342789598
81,0,0.03297046624539816,0.4558284452213712,0.3082983966278999,0.12061432029301736,0.3333333333333333,0.5673758865248227,0.009456264775413711,0.06619385342789598
82,0,0.14706089230921718,0.11342532096720925,0.21733323242639013,0.15453170215305737,0.3947990543735225,0.29550827423167847,0.009456264775413711,0.06619385342789598
83,0,0.07065203601858196,0.4654231463344802,0.0942151626564455,0.24346916662566054,0.3640661938534279,0.6099290780141844,0,0.06619385342789598
