period,cluster,sum_garb_k,sum_n_cert,sum_N_garbage,num_RI_weighted,prop_garbage,RI_cluster,w,num,den,philips_cstd,z_philips_cstd,z_RI_cluster,z_prop_garbage,direction_score
1999_2005,04CS004,1374,4493,445,497.02254731930327,0.3058090362786557,1.1169046007175354,NA,50.3426304399265,1,50.3426304399265,-1.1960848356454346,-0.3894459034646086,-0.54971746319932,-0.7117494007697878
1999_2005,04CS006,39453,164606,7269,18280.546736814907,0.23968142109036122,2.514864044134669,NA,51.6331634571239,1,51.6331634571239,-0.5471861072580751,2.6311201010742367,0.9025181130985808,0.9954840356382474
1999_2005,04CS007,6171,22306,1787,2217.971828970865,0.27665202187752175,1.2411705814050726,NA,50.82210463516887,1,50.82210463516887,-0.9549982524730064,-0.120944840323641,0.09060282494940841,-0.3284467559490796
1999_2005,04CS008,1743,5154,353,509.8534643006136,0.3381839348079162,1.4443440915031547,NA,51.78444957797405,1,51.78444957797405,-0.47111725033296464,0.31805144137462305,-1.2607060462497064,-0.47125728506934933
1999_2005,04CS009,16001,56828,4159,5945.586034863663,0.28156894488632367,1.4295710591160526,NA,51.10785108469478,1,51.10785108469478,-0.8113207910925635,0.28613140276223187,-0.017378243156066564,-0.1808558771621327
1999_2005,04CS010,3083,11514,748,1184.9216581425042,0.26776098662497827,1.5841198638268772,NA,51.07836567444932,1,51.07836567444932,-0.8261464832362693,0.6200644562208757,0.2858597938737621,0.026592588952789504
1999_2005,05CS004,7278,25462,2438,2746.2279461436347,0.285837718953735,1.1264265570728609,NA,50.95708728516396,1,50.95708728516396,-0.8871270172787418,-0.368871846184882,-0.11112524356157923,-0.4557080356750676
1999_2005,05CS012,1926,5535,536,582.7233310640707,0.34796747967479674,1.0871703937762514,NA,49.36548642199481,1,49.36548642199481,-1.6874070275132347,-0.4536924988016137,-1.475563513550382,-1.2055543466217433
1999_2005,05CS013,965,3516,282,368.747884070489,0.27445961319681456,1.3076166101790392,NA,49.66651539900067,1,49.66651539900067,-1.5360452895461896,0.022624858065216708,0.1387505447007011,-0.45822329559342395
1999_2005,05CS014,974,3570,312,359.58792640629804,0.27282913165266104,1.152525405148391,NA,49.34776462012945,1,49.34776462012945,-1.6963178066579137,-0.31248015783813526,0.1745577229601103,-0.6114134138453128
1999_2005,05CS016,1720,4512,701,446.79094645971605,0.38120567375886527,0.6373622631379687,NA,49.542821184379015,1,49.542821184379015,-1.59824053562457,-1.4255913291783062,-2.2055110219148326,-1.7431142955725694
1999_2005,05CS018,5882,18090,2329,1870.2234865663056,0.3251520176893311,0.803015666194206,NA,50.80618902014413,1,50.80618902014413,-0.9630008546640636,-1.0676646095127071,-0.9745107311293002,-1.001725398435357
1999_2005,05CS021,3152,9865,1208,1070.4760818003942,0.3195134313228586,0.886155696854631,NA,50.38977452987386,1,50.38977452987386,-1.1723801030968202,-0.8880242405365213,-0.8506811374247143,-0.9703618270193518
1999_2005,05CS022,1014,3265,376,326.3280161424431,0.31056661562021437,0.8678936599533061,NA,48.64430494710309,1,48.64430494710309,-2.0500275383855873,-0.9274829588115953,-0.6541991681148555,-1.2105698884373461
1999_2005,05CS023,1207,4036,442,413.3545578923729,0.2990584737363726,0.9351913074488074,NA,49.724051282098216,1,49.724051282098216,-1.5071154126030033,-0.7820731708756411,-0.40146764266650853,-0.896885408715051
