county_ihme,cluster,period
42059,1999-2004_C1,1999-2004
33017,1999-2004_C1,1999-2004
37173,1999-2004_C1,1999-2004
22071,1999-2004_C1,1999-2004
37013,1999-2004_C1,1999-2004
54081,1999-2004_C1,1999-2004
48339,1999-2004_C1,1999-2004
27145,1999-2004_C1,1999-2004
06007,1999-2004_C1,1999-2004
17183,1999-2004_C1,1999-2004
51061,1999-2004_C1,1999-2004
39041,1999-2004_C1,1999-2004
05139,1999-2004_C1,1999-2004
17141,1999-2004_C1,1999-2004
51093,1999-2004_C1,1999-2004
19187,1999-2004_C1,1999-2004
18141,1999-2004_C1,1999-2004
41043,1999-2004_C1,1999-2004
12017,1999-2004_C1,1999-2004
42027,1999-2004_C1,1999-2004
19007,1999-2004_C1,1999-2004
17201,1999-2004_C1,1999-2004
29510,1999-2004_C1,1999-2004
26123,1999-2004_C1,1999-2004
19139,1999-2004_C1,1999-2004
19011,1999-2004_C1,1999-2004
50017,1999-2004_C1,1999-2004
53011,1999-2004_C1,1999-2004
12127,1999-2004_C1,1999-2004
04021,1999-2004_C1,1999-2004
19023,1999-2004_C1,1999-2004
48203,1999-2004_C1,1999-2004
50011,1999-2004_C1,1999-2004
17091,1999-2004_C1,1999-2004
27137,1999-2004_C1,1999-2004
37133,1999-2004_C1,1999-2004
18105,1999-2004_C1,1999-2004
41019,1999-2004_C1,1999-2004
48177,1999-2004_C1,1999-2004
27163,1999-2004_C1,1999-2004
06069,1999-2004_C1,1999-2004
37027,1999-2004_C1,1999-2004
36013,1999-2004_C1,1999-2004
21009,1999-2004_C1,1999-2004
38017,1999-2004_C1,1999-2004
13089,1999-2004_C1,1999-2004
12105,1999-2004_C1,1999-2004
29069,1999-2004_C1,1999-2004
06031,1999-2004_C1,1999-2004
49001,1999-2004_C1,1999-2004
46081,1999-2004_C1,1999-2004
55035,1999-2004_C1,1999-2004
55133,1999-2004_C1,1999-2004
19179,1999-2004_C1,1999-2004
21013,1999-2004_C1,1999-2004
37129,1999-2004_C1,1999-2004
37033,1999-2004_C1,1999-2004
26025,1999-2004_C1,1999-2004
41057,1999-2004_C1,1999-2004
49047,1999-2004_C1,1999-2004
31109,1999-2004_C1,1999-2004
26155,1999-2004_C1,1999-2004
39047,1999-2004_C1,1999-2004
13177,1999-2004_C1,1999-2004
09013,1999-2004_C1,1999-2004
20091,1999-2004_C1,1999-2004
01063,1999-2004_C1,1999-2004
49029,1999-2004_C1,1999-2004
29001,1999-2004_C1,1999-2004
21071,1999-2004_C1,1999-2004
28033,1999-2004_C1,1999-2004
19057,1999-2004_C1,1999-2004
13213,1999-2004_C1,1999-2004
