cluster,period,z_overd,z_RI,z_garb,z_phil,has_dq,has_ph,ready,reason
C1095,2006_2012,NA,NA,NA,0.6969021818669181,0,1,0,missing_dq
C1096,2006_2012,NA,NA,NA,0.3411667206166018,0,1,0,missing_dq
C1097,2006_2012,NA,NA,NA,-2.0763405667357024,0,1,0,missing_dq
C1098,2006_2012,NA,NA,NA,-0.17872555752352598,0,1,0,missing_dq
C1099,2006_2012,NA,NA,NA,-0.20608975578123834,0,1,0,missing_dq
C11,2006_2012,NA,NA,NA,0.3773701002496639,0,1,0,missing_dq
C110,2006_2012,NA,NA,NA,1.7368350298983062,0,1,0,missing_dq
C1100,2006_2012,NA,NA,NA,0.4049782121297689,0,1,0,missing_dq
C1101,2006_2012,NA,NA,NA,-0.26748371659109144,0,1,0,missing_dq
C1102,2006_2012,NA,NA,NA,-0.2192798146199113,0,1,0,missing_dq
C1103,2006_2012,NA,NA,NA,-0.6217516092021879,0,1,0,missing_dq
C1104,2006_2012,NA,NA,NA,-0.4134031070395771,0,1,0,missing_dq
C1105,2006_2012,NA,NA,NA,-0.7596916084305074,0,1,0,missing_dq
C1106,2006_2012,NA,NA,NA,-1.5716694677890664,0,1,0,missing_dq
C1107,2006_2012,NA,NA,NA,-0.3853210227371307,0,1,0,missing_dq
C1108,2006_2012,NA,NA,NA,-1.3810875503362525,0,1,0,missing_dq
C1109,2006_2012,NA,NA,NA,-2.3450737978154867,0,1,0,missing_dq
C111,2006_2012,NA,NA,NA,0.3056286083553676,0,1,0,missing_dq
C1110,2006_2012,NA,NA,NA,-0.9719338038642117,0,1,0,missing_dq
C1111,2006_2012,NA,NA,NA,-0.39580656896323896,0,1,0,missing_dq
C1112,2006_2012,NA,NA,NA,-1.6250766417869011,0,1,0,missing_dq
C1113,2006_2012,NA,NA,NA,-1.9046598017221492,0,1,0,missing_dq
C1114,2006_2012,NA,NA,NA,-0.08069019815007242,0,1,0,missing_dq
C1115,2006_2012,NA,NA,NA,0.14961921460783026,0,1,0,missing_dq
C1116,2006_2012,NA,NA,NA,-2.2352226889536952,0,1,0,missing_dq
C1117,2006_2012,NA,NA,NA,-0.5379099080988949,0,1,0,missing_dq
C1118,2006_2012,NA,NA,NA,-0.6110945460871939,0,1,0,missing_dq
C1119,2006_2012,NA,NA,NA,-1.2267822178581902,0,1,0,missing_dq
C112,2006_2012,NA,NA,NA,0.7453472132547051,0,1,0,missing_dq
C1120,2006_2012,NA,NA,NA,-0.8971128415365774,0,1,0,missing_dq
C1121,2006_2012,NA,NA,NA,0.28020262243782135,0,1,0,missing_dq
C1122,2006_2012,NA,NA,NA,-0.4008086511386326,0,1,0,missing_dq
C1123,2006_2012,NA,NA,NA,-0.21336900984429155,0,1,0,missing_dq
C1124,2006_2012,NA,NA,NA,-0.3644360192517223,0,1,0,missing_dq
C1125,2006_2012,NA,NA,NA,-0.4081816383422745,0,1,0,missing_dq
C1126,2006_2012,NA,NA,NA,-1.5293875078287158,0,1,0,missing_dq
C1127,2006_2012,NA,NA,NA,-1.6471300484760292,0,1,0,missing_dq
C1128,2006_2012,NA,NA,NA,-1.1440666893260045,0,1,0,missing_dq
C1129,2006_2012,NA,NA,NA,-0.25067023595263843,0,1,0,missing_dq
C113,2006_2012,NA,NA,NA,1.798453520941022,0,1,0,missing_dq
C1130,2006_2012,NA,NA,NA,-1.0931016921751489,0,1,0,missing_dq
C1131,2006_2012,NA,NA,NA,0.8940664344443147,0,1,0,missing_dq
C1132,2006_2012,NA,NA,NA,-0.6371223474586032,0,1,0,missing_dq
C1133,2006_2012,NA,NA,NA,0.6495562674205871,0,1,0,missing_dq
C1134,2006_2012,NA,NA,NA,0.7001282403393525,0,1,0,missing_dq
C1135,2006_2012,NA,NA,NA,-1.009756491911407,0,1,0,missing_dq
C1136,2006_2012,NA,NA,NA,0.1845285695038344,0,1,0,missing_dq
C1137,2006_2012,NA,NA,NA,-0.17242259428383047,0,1,0,missing_dq
C1138,2006_2012,NA,NA,NA,1.42941364038495,0,1,0,missing_dq
C1139,2006_2012,NA,NA,NA,-0.0942961917761854,0,1,0,missing_dq
C114,2006_2012,NA,NA,NA,0.3124399014274767,0,1,0,missing_dq
C1140,2006_2012,NA,NA,NA,-0.11402802118052349,0,1,0,missing_dq
C1141,2006_2012,NA,NA,NA,-0.21602479757340165,0,1,0,missing_dq
C1142,2006_2012,NA,NA,NA,-0.14625285196765636,0,1,0,missing_dq
C1143,2006_2012,NA,NA,NA,-0.5408305117196859,0,1,0,missing_dq
C1144,2006_2012,NA,NA,NA,-0.4781576709155341,0,1,0,missing_dq
C1145,2006_2012,NA,NA,NA,-0.888928821333392,0,1,0,missing_dq
C1146,2006_2012,NA,NA,NA,0.38979222710918743,0,1,0,missing_dq
C1147,2006_2012,NA,NA,NA,-0.9978423112420305,0,1,0,missing_dq
C1148,2006_2012,NA,NA,NA,0.6790285385782193,0,1,0,missing_dq
C1149,2006_2012,NA,NA,NA,-0.24318279452012032,0,1,0,missing_dq
C115,2006_2012,NA,NA,NA,1.1525689677523068,0,1,0,missing_dq
C1150,2006_2012,NA,NA,NA,-0.5912622796929095,0,1,0,missing_dq
C1151,2006_2012,NA,NA,NA,0.38283918073611406,0,1,0,missing_dq
C1152,2006_2012,NA,NA,NA,-0.5691472368535491,0,1,0,missing_dq
C1153,2006_2012,NA,NA,NA,-0.6156208345785019,0,1,0,missing_dq
C1154,2006_2012,NA,NA,NA,-0.593137524162519,0,1,0,missing_dq
C1155,2006_2012,NA,NA,NA,0.06476245436143302,0,1,0,missing_dq
C1156,2006_2012,NA,NA,NA,0.6544726639925106,0,1,0,missing_dq
C1157,2006_2012,NA,NA,NA,-1.7661768783750127,0,1,0,missing_dq
C1158,2006_2012,NA,NA,NA,0.3535634951176759,0,1,0,missing_dq
C1159,2006_2012,NA,NA,NA,-0.9013155666110405,0,1,0,missing_dq
C116,2006_2012,NA,NA,NA,0.6435148156052062,0,1,0,missing_dq
C1160,2006_2012,NA,NA,NA,-0.935173755870671,0,1,0,missing_dq
C1161,2006_2012,NA,NA,NA,-0.7947558312475945,0,1,0,missing_dq
C1162,2006_2012,NA,NA,NA,-1.1363068579882325,0,1,0,missing_dq
C1163,2006_2012,NA,NA,NA,-1.5003067511112977,0,1,0,missing_dq
C1164,2006_2012,NA,NA,NA,-1.0793957827001668,0,1,0,missing_dq
C1165,2006_2012,NA,NA,NA,-0.7255450904022425,0,1,0,missing_dq
C1166,2006_2012,NA,NA,NA,-0.8770137037267823,0,1,0,missing_dq
C1167,2006_2012,NA,NA,NA,-1.0943664000851252,0,1,0,missing_dq
C1168,2006_2012,NA,NA,NA,-0.1184750396611886,0,1,0,missing_dq
C1169,2006_2012,NA,NA,NA,0.1036145812146416,0,1,0,missing_dq
C117,2006_2012,NA,NA,NA,1.3063268989215038,0,1,0,missing_dq
