variable,level,autopsy_flag,deaths,prop,description
cause113,59,No,102867,0.9180537086453248,NA
cause113,59,Unknown,4309,0.03845638961525761,NA
cause113,59,Yes,4873,0.04348990173941757,NA
cause113,60,No,3702,0.9225018689259905,NA
cause113,60,Unknown,137,0.03413904809369549,NA
cause113,60,Yes,174,0.04335908298031398,NA
cause113,62,No,48138,0.7652005277464273,NA
cause113,62,Unknown,875,0.01390897963725381,NA
cause113,62,Yes,13896,0.22089049261631882,NA
cause113,63,No,169315,0.912916653187107,NA
cause113,63,Unknown,7587,0.0409077674614215,NA
cause113,63,Yes,8564,0.04617557935147143,NA
cause113,65,No,1266,0.8508064516129032,NA
cause113,65,Unknown,72,0.04838709677419355,NA
cause113,65,Yes,150,0.10080645161290322,NA
cause113,66,No,613,0.6627027027027027,NA
cause113,66,Unknown,45,0.04864864864864865,NA
cause113,66,Yes,267,0.28864864864864864,NA
cause113,67,No,74038,0.9443261099702818,NA
cause113,67,Unknown,3972,0.05066132673494637,NA
cause113,67,Yes,393,0.005012563294771883,NA
cause113,68,No,123569,0.8939053061815025,NA
cause113,68,Unknown,6308,0.0456324375158245,NA
cause113,68,Yes,8358,0.06046225630267298,NA
cause113,69,No,31508,0.9466410287225093,NA
cause113,69,Unknown,1274,0.038276649441172934,NA
cause113,69,Yes,502,0.01508232183631775,NA
cause113,70,No,133748,0.9391294578596656,NA
cause113,70,Unknown,6258,0.04394138340226237,NA
cause113,70,Yes,2411,0.016929158738072,NA
cause113,71,No,5456,0.9510196967055953,NA
cause113,71,Unknown,223,0.03887048980303295,NA
cause113,71,Yes,58,0.010109813491371798,NA
cause113,73,No,7578,0.773818033289084,NA
cause113,73,Unknown,414,0.042275094455223115,NA
cause113,73,Yes,1801,0.18390687225569285,NA
cause113,74,No,9068,0.922106975798251,NA
cause113,74,Unknown,471,0.047895057962172055,NA
cause113,74,Yes,295,0.029997966239576977,NA
cause113,75,No,3121,0.6553968920621588,NA
cause113,75,Unknown,214,0.04493910121797564,NA
cause113,75,Yes,1427,0.2996640067198656,NA
cause113,77,No,2586,0.8850102669404517,NA
cause113,77,Unknown,124,0.04243668720054757,NA
cause113,77,Yes,212,0.07255304585900069,NA
cause113,78,No,44189,0.9070550321243098,NA
cause113,78,Unknown,2787,0.05720795615493565,NA
cause113,78,Yes,1741,0.03573701172075456,NA
cause113,80,No,152,0.7136150234741784,NA
cause113,80,Unknown,6,0.028169014084507043,NA
cause113,80,Yes,55,0.25821596244131456,NA
cause113,81,No,41,0.8367346938775511,NA
cause113,81,Unknown,1,0.02040816326530612,NA
cause113,81,Yes,7,0.14285714285714285,NA
cause113,83,No,443,0.8519230769230769,NA
cause113,83,Unknown,16,0.03076923076923077,NA
cause113,83,Yes,61,0.11730769230769231,NA
cause113,84,No,6296,0.9012310334955626,NA
cause113,84,Unknown,231,0.033066132264529056,NA
cause113,84,Yes,459,0.06570283423990839,NA
cause113,85,No,2746,0.7787861599546227,NA
cause113,85,Unknown,112,0.03176403857061826,NA
cause113,85,Yes,668,0.18944980147475893,NA
cause113,86,No,135952,0.9461808817900268,NA
cause113,86,Unknown,6452,0.044903782579949196,NA
cause113,86,Yes,1281,0.00891533563002401,NA
