period,cluster,issue,z_sum
1999_2005,C1223,geom_without_data,NA
1999_2005,C1224,geom_without_data,NA
1999_2005,C1225,geom_without_data,NA
1999_2005,C1226,geom_without_data,NA
1999_2005,C1227,geom_without_data,NA
1999_2005,C1228,geom_without_data,NA
1999_2005,C1229,geom_without_data,NA
1999_2005,C123,geom_without_data,NA
1999_2005,C1230,geom_without_data,NA
1999_2005,C1231,geom_without_data,NA
1999_2005,C1232,geom_without_data,NA
1999_2005,C1233,geom_without_data,NA
1999_2005,C1234,geom_without_data,NA
1999_2005,C1235,geom_without_data,NA
1999_2005,C1236,geom_without_data,NA
1999_2005,C1237,geom_without_data,NA
1999_2005,C1238,geom_without_data,NA
1999_2005,C1239,geom_without_data,NA
1999_2005,C124,geom_without_data,NA
1999_2005,C1240,geom_without_data,NA
1999_2005,C1241,geom_without_data,NA
1999_2005,C1242,geom_without_data,NA
1999_2005,C1243,geom_without_data,NA
1999_2005,C1244,geom_without_data,NA
1999_2005,C1245,geom_without_data,NA
1999_2005,C1246,geom_without_data,NA
1999_2005,C1247,geom_without_data,NA
1999_2005,C1248,geom_without_data,NA
1999_2005,C1249,geom_without_data,NA
1999_2005,C125,geom_without_data,NA
1999_2005,C1250,geom_without_data,NA
1999_2005,C1252,geom_without_data,NA
1999_2005,C1253,geom_without_data,NA
1999_2005,C1254,geom_without_data,NA
1999_2005,C1255,geom_without_data,NA
1999_2005,C1256,geom_without_data,NA
1999_2005,C1257,geom_without_data,NA
1999_2005,C1258,geom_without_data,NA
1999_2005,C1259,geom_without_data,NA
1999_2005,C126,geom_without_data,NA
1999_2005,C1260,geom_without_data,NA
1999_2005,C1261,geom_without_data,NA
1999_2005,C1262,geom_without_data,NA
1999_2005,C1263,geom_without_data,NA
1999_2005,C1264,geom_without_data,NA
1999_2005,C1265,geom_without_data,NA
1999_2005,C1266,geom_without_data,NA
1999_2005,C1267,geom_without_data,NA
1999_2005,C1268,geom_without_data,NA
1999_2005,C1269,geom_without_data,NA
1999_2005,C127,geom_without_data,NA
1999_2005,C1270,geom_without_data,NA
1999_2005,C1273,geom_without_data,NA
1999_2005,C1274,geom_without_data,NA
1999_2005,C1276,geom_without_data,NA
1999_2005,C1277,geom_without_data,NA
1999_2005,C1278,geom_without_data,NA
1999_2005,C1279,geom_without_data,NA
1999_2005,C128,geom_without_data,NA
1999_2005,C1280,geom_without_data,NA
1999_2005,C1281,geom_without_data,NA
1999_2005,C1282,geom_without_data,NA
1999_2005,C1283,geom_without_data,NA
1999_2005,C1284,geom_without_data,NA
1999_2005,C1285,geom_without_data,NA
1999_2005,C1286,geom_without_data,NA
1999_2005,C1287,geom_without_data,NA
1999_2005,C1288,geom_without_data,NA
1999_2005,C1289,geom_without_data,NA
1999_2005,C129,geom_without_data,NA
1999_2005,C1290,geom_without_data,NA
1999_2005,C1293,geom_without_data,NA
1999_2005,C1294,geom_without_data,NA
1999_2005,C1295,geom_without_data,NA
1999_2005,C1296,geom_without_data,NA
1999_2005,C1297,geom_without_data,NA
1999_2005,C1298,geom_without_data,NA
1999_2005,C1299,geom_without_data,NA
1999_2005,C13,geom_without_data,NA
1999_2005,C130,geom_without_data,NA
1999_2005,C1300,geom_without_data,NA
1999_2005,C1301,geom_without_data,NA
1999_2005,C1302,geom_without_data,NA
1999_2005,C1303,geom_without_data,NA
1999_2005,C1304,geom_without_data,NA
1999_2005,C1305,geom_without_data,NA
1999_2005,C1307,geom_without_data,NA
1999_2005,C1308,geom_without_data,NA
1999_2005,C1309,geom_without_data,NA
1999_2005,C131,geom_without_data,NA
1999_2005,C1310,geom_without_data,NA
1999_2005,C1311,geom_without_data,NA
1999_2005,C1312,geom_without_data,NA
1999_2005,C1313,geom_without_data,NA
1999_2005,C1314,geom_without_data,NA
1999_2005,C1315,geom_without_data,NA
1999_2005,C1316,geom_without_data,NA
1999_2005,C1317,geom_without_data,NA
1999_2005,C1319,geom_without_data,NA
1999_2005,C132,geom_without_data,NA
1999_2005,C1320,geom_without_data,NA
1999_2005,C1321,geom_without_data,NA
1999_2005,C1323,geom_without_data,NA
1999_2005,C1324,geom_without_data,NA
1999_2005,C1325,geom_without_data,NA
1999_2005,C1326,geom_without_data,NA
1999_2005,C1328,geom_without_data,NA
1999_2005,C1329,geom_without_data,NA
1999_2005,C133,geom_without_data,NA
1999_2005,C1330,geom_without_data,NA
1999_2005,C1331,geom_without_data,NA
1999_2005,C1333,geom_without_data,NA
1999_2005,C1334,geom_without_data,NA
1999_2005,C1335,geom_without_data,NA
1999_2005,C1337,geom_without_data,NA
1999_2005,C1338,geom_without_data,NA
1999_2005,C1339,geom_without_data,NA
1999_2005,C134,geom_without_data,NA
1999_2005,C1340,geom_without_data,NA
1999_2005,C1341,geom_without_data,NA
1999_2005,C1342,geom_without_data,NA
1999_2005,C1343,geom_without_data,NA
1999_2005,C1344,geom_without_data,NA
1999_2005,C1345,geom_without_data,NA
1999_2005,C1346,geom_without_data,NA
1999_2005,C1347,geom_without_data,NA
1999_2005,C1348,geom_without_data,NA
1999_2005,C135,geom_without_data,NA
1999_2005,C1351,geom_without_data,NA
1999_2005,C1353,geom_without_data,NA
1999_2005,C1354,geom_without_data,NA
1999_2005,C1355,geom_without_data,NA
1999_2005,C1356,geom_without_data,NA
1999_2005,C1357,geom_without_data,NA
1999_2005,C1358,geom_without_data,NA
1999_2005,C1359,geom_without_data,NA
1999_2005,C136,geom_without_data,NA
1999_2005,C1360,geom_without_data,NA
1999_2005,C1361,geom_without_data,NA
1999_2005,C1362,geom_without_data,NA
1999_2005,C1363,geom_without_data,NA
1999_2005,C1364,geom_without_data,NA
1999_2005,C1367,geom_without_data,NA
1999_2005,C1368,geom_without_data,NA
1999_2005,C1369,geom_without_data,NA
1999_2005,C137,geom_without_data,NA
1999_2005,C1370,geom_without_data,NA
1999_2005,C1371,geom_without_data,NA
1999_2005,C1373,geom_without_data,NA
1999_2005,C1374,geom_without_data,NA
1999_2005,C1375,geom_without_data,NA
1999_2005,C1376,geom_without_data,NA
1999_2005,C1377,geom_without_data,NA
1999_2005,C1378,geom_without_data,NA
1999_2005,C1379,geom_without_data,NA
1999_2005,C138,geom_without_data,NA
1999_2005,C1381,geom_without_data,NA
1999_2005,C1382,geom_without_data,NA
1999_2005,C1384,geom_without_data,NA
1999_2005,C1385,geom_without_data,NA
1999_2005,C1386,geom_without_data,NA
1999_2005,C1387,geom_without_data,NA
1999_2005,C1388,geom_without_data,NA
1999_2005,C1389,geom_without_data,NA
1999_2005,C139,geom_without_data,NA
1999_2005,C1390,geom_without_data,NA
1999_2005,C1392,geom_without_data,NA
1999_2005,C1393,geom_without_data,NA
1999_2005,C1394,geom_without_data,NA
1999_2005,C1396,geom_without_data,NA
1999_2005,C1397,geom_without_data,NA
1999_2005,C1399,geom_without_data,NA
1999_2005,C140,geom_without_data,NA
1999_2005,C1400,geom_without_data,NA
1999_2005,C1402,geom_without_data,NA
1999_2005,C1403,geom_without_data,NA
1999_2005,C1404,geom_without_data,NA
1999_2005,C1405,geom_without_data,NA
1999_2005,C1406,geom_without_data,NA
1999_2005,C1407,geom_without_data,NA
1999_2005,C1408,geom_without_data,NA
1999_2005,C1409,geom_without_data,NA
1999_2005,C141,geom_without_data,NA
1999_2005,C1410,geom_without_data,NA
1999_2005,C1412,geom_without_data,NA
1999_2005,C1414,geom_without_data,NA
1999_2005,C1415,geom_without_data,NA
1999_2005,C1416,geom_without_data,NA
1999_2005,C1417,geom_without_data,NA
1999_2005,C1418,geom_without_data,NA
1999_2005,C1419,geom_without_data,NA
1999_2005,C142,geom_without_data,NA
1999_2005,C1421,geom_without_data,NA
1999_2005,C1422,geom_without_data,NA
1999_2005,C1424,geom_without_data,NA
1999_2005,C1427,geom_without_data,NA
1999_2005,C1429,geom_without_data,NA
1999_2005,C143,geom_without_data,NA
