cluster,period,n_counties,prop_garbage,pct_overd_miss,RI
C285,2013_2019,14,0.2570080691349129,0.010703419298753982,0.21176200131645825
C292,2020_2022,6,0.37666498300091505,0.4766434869883146,0.21336523016605582
C313,2006_2012,21,0.29945934659637347,0.02999102163805526,0.20080288001332397
C320,2013_2019,14,0.2626223877095178,0.7262450463832852,0.24615188155258605
C329,2006_2012,14,0.2775202232716512,0.6402192687486805,0.24512765792451563
C339,2013_2019,7,0.30658807928207404,0.018607442977190875,0.19756383919653714
C340,1999_2005,21,0.2993120884782788,0.06726124117428464,0.2224774835214641
C349,1999_2005,7,0.297779338857242,0.010204081632653062,0.2028934502854392
C363,1999_2005,14,0.29560967185850395,0.19589220303506016,0.24190656043375694
C371,2020_2022,3,0.25053682186134,0.2777777777777778,0.27029046637794685
C395,2006_2012,7,0.29630734074380305,0.12738095238095237,0.1936971348648916
C411,2020_2022,9,0.29148280114050473,0,0.16476564070625263
C415,2013_2019,21,0.24974242138639555,0.04809476238047666,0.20479550593610232
C421,2006_2012,21,0.2607510694670344,0.07925170068027211,0.2207518517854392
C433,2013_2019,7,0.30658807928207404,0.018607442977190875,0.19756383919653714
C441,1999_2005,21,0.2839310536662433,0.02040816326530612,0.2537262419967002
C448,2020_2022,3,0.37845244801310474,0.030080419264479984,0.18842548256167152
C476,2020_2022,6,0.23620288515586677,0.02941176470588235,0.2204483712665277
C479,2013_2019,14,0.23402311048608895,0.03199526594263436,0.22816911214764152
C495,2020_2022,3,0.34918792948590305,0.013968530091846882,0.1678121382491573
C503,2020_2022,6,0.3018607715685165,0.01111111111111111,0.19454255715073024
C509,2006_2012,14,0.279586378338488,0.3171172445219632,0.25751217488045874
C511,2013_2019,14,0.27570988695010384,0.03273809523809524,0.2009393824607118
C518,2006_2012,14,0.2855252999458364,0,0.22601896367332053
C530,2020_2022,6,0.3274163790576125,0,0.1924531631641038
C533,2013_2019,7,0.29459788067947307,0.011379800853485065,0.18521056670327865
C542,1999_2005,14,0.3336605905919023,0.047619047619047616,0.2182995325837468
C543,2013_2019,14,0.24352712149512187,0.014285714285714284,0.21636778244593355
C569,2006_2012,14,0.2763590555630044,0.11700680272108843,0.2379522931053856
C573,1999_2005,14,0.30955799906188203,0.18095238095238095,0.22680450983408174
C575,2020_2022,3,0.3276590385151338,0.03335053985460489,0.20455450699867359
C578,2006_2012,7,0.2895825382143826,0.06785714285714287,0.21117509977697443
C584,2013_2019,7,0.21942684100791313,0.005494505494505493,0.2345245241519242
C589,1999_2005,14,0.3106865103114437,0,0.2331364636065556
C591,1999_2005,7,0.2925984777561299,0.1226808905380334,0.2324978768609392
C6,2006_2012,7,0.2305023060547336,0.03396446108572186,0.22526821300801816
C6,2013_2019,7,0.21838095572519234,0.03277537256343534,0.22148697613984522
C6,2020_2022,9,0.28539353075862367,0.021123358604819502,0.23913929621039956
C608,2006_2012,7,0.24591905969618333,0.25092313960346113,0.25786075861945945
C623,2006_2012,14,0.2578206904706057,0.3,0.23931556075549096
C624,2020_2022,6,0.2692983166453434,0,0.1633328581008597
C642,2013_2019,14,0.2288722269872808,0,0.22822157400242607
C653,1999_2005,7,0.2668737008751735,0.10966810966810966,0.27165832058136663
C685,2020_2022,3,0.33145789997393044,0.013333333333333332,0.21729729330540326
C699,2020_2022,3,0.34918792948590305,0.013968530091846882,0.1678121382491573
C70,1999_2005,7,0.2704261056517279,0.14233171035901093,0.25482573131888053
C709,2020_2022,3,0.37845244801310474,0.030080419264479984,0.18842548256167152
C715,2013_2019,7,0.2835014181151476,0.010989010989010988,0.20712437020242236
C737,2006_2012,14,0.24119469765571092,0.060714285714285714,0.24176029581116387
C747,2013_2019,7,0.29459788067947307,0.011379800853485065,0.18521056670327865
C748,2006_2012,7,0.3064431197021364,0.0824829931972789,0.21020547264867384
C768,2020_2022,15,0.2854024099821058,0,0.2309439791069098
C8,1999_2005,7,0.22909092883097146,0.04078820265783825,0.2542042418206191
C8,2013_2019,21,0.22901954885066458,0.12085445389815021,0.2295250064371622
C8,2020_2022,3,0.30647261644661145,0.03765436813615985,0.22917180463145237
C80,2020_2022,3,0.3276590385151338,0.03335053985460489,0.20455450699867359
C82,2013_2019,7,0.21942684100791313,0.005494505494505493,0.2345245241519242
C838,1999_2005,7,0.33472019882138265,0.07539682539682539,0.2244781330744759
C839,1999_2005,14,0.2563424491208596,0.03333333333333334,0.23648311235290653
C864,2006_2012,7,0.2895825382143826,0.06785714285714287,0.21117509977697443
C881,2013_2019,14,0.25737386524731315,0,0.3112357753867922
C91,2006_2012,7,0.2527963077166576,0.03813308200850993,0.24920021430506423
C91,2020_2022,6,0.3019762541231549,0.01856808688387635,0.1923741558385513
C911,2020_2022,9,0.28539353075862367,0.021123358604819502,0.23913929621039956
C92,2006_2012,7,0.24591905969618333,0.25092313960346113,0.25786075861945945
C989,1999_2005,7,0.2925984777561299,0.1226808905380334,0.2324978768609392
