period,cluster
1999_2005,C1013
1999_2005,C1569
1999_2005,C1605
1999_2005,C885
1999_2005,C774
1999_2005,C1253
1999_2005,C1086
1999_2005,C1238
1999_2005,C1669
1999_2005,C1170
1999_2005,C1256
1999_2005,C1136
1999_2005,C849
1999_2005,C1641
1999_2005,C1088
1999_2005,C1118
1999_2005,C306
1999_2005,C1589
1999_2005,C1154
1999_2005,C194
1999_2005,C994
1999_2005,C951
1999_2005,C1268
1999_2005,C1279
1999_2005,C1416
1999_2005,C1003
1999_2005,C1180
1999_2005,C1342
1999_2005,C1703
1999_2005,C1564
1999_2005,C418
1999_2005,C1387
1999_2005,C940
1999_2005,C229
1999_2005,C1389
1999_2005,C777
1999_2005,C11
1999_2005,C665
1999_2005,C59
1999_2005,C416
1999_2005,C1276
1999_2005,C1612
1999_2005,C911
1999_2005,C1232
1999_2005,C1375
1999_2005,C1190
1999_2005,C1479
1999_2005,C1460
1999_2005,C217
1999_2005,C588
1999_2005,C377
1999_2005,C1407
1999_2005,C1005
1999_2005,C819
1999_2005,C330
1999_2005,C624
1999_2005,C455
1999_2005,C62
1999_2005,C310
1999_2005,C122
1999_2005,C886
1999_2005,C254
1999_2005,C95
1999_2005,C738
1999_2005,C317
1999_2005,C432
1999_2005,C1080
1999_2005,C411
1999_2005,C570
1999_2005,C1565
1999_2005,C717
1999_2005,C769
1999_2005,C980
1999_2005,C851
1999_2005,C586
1999_2005,C1665
1999_2005,C415
1999_2005,C324
1999_2005,C832
1999_2005,C1388
1999_2005,C1364
1999_2005,C302
1999_2005,C1258
1999_2005,C1646
1999_2005,C950
1999_2005,C577
1999_2005,C279
1999_2005,C196
1999_2005,C985
1999_2005,C1699
1999_2005,C82
1999_2005,C239
1999_2005,C221
1999_2005,C167
1999_2005,C1686
1999_2005,C1412
1999_2005,C1708
1999_2005,C962
1999_2005,C1055
1999_2005,C1393
1999_2005,C490
1999_2005,C234
1999_2005,C444
1999_2005,C650
1999_2005,C696
1999_2005,C1314
1999_2005,C489
1999_2005,C315
1999_2005,C253
1999_2005,C1519
1999_2005,C1097
1999_2005,C646
1999_2005,C1621
1999_2005,C423
1999_2005,C1226
1999_2005,C366
1999_2005,C736
1999_2005,C1400
1999_2005,C1264
1999_2005,C435
