period,cluster,fips,cluster_deaths
1999_2005,27CS031,27061,419
1999_2005,19CS017,31167,46
1999_2005,21CS021,51720,46
1999_2005,32CS001,32001,204
1999_2005,20CS022,20145,95
1999_2005,39CS028,21161,170
1999_2005,39CS028,21099,212
1999_2005,55CS024,26097,141
1999_2005,55CS024,26071,220
1999_2005,28CS003,28007,297
1999_2005,36CS028,36101,1021
1999_2005,18CS046,17049,314
1999_2005,42CS024,54063,137
1999_2005,28CS003,28037,86
1999_2005,13CS038,13311,211
1999_2005,04CS002,35029,265
1999_2005,08CS001,30109,20
1999_2005,16CS001,16075,206
1999_2005,21CS021,47007,125
1999_2005,08CS001,08093,64
1999_2005,29CS038,29041,122
1999_2005,16CS001,30015,75
1999_2005,08CS001,48101,30
1999_2005,08CS001,38073,78
1999_2005,39CS028,21191,132
1999_2005,32CS001,32029,24
1999_2005,31CS016,31061,58
1999_2005,19CS030,29079,150
1999_2005,19CS017,19187,462
1999_2005,51CS015,51137,258
1999_2005,19CS030,19107,129
1999_2005,19CS017,46129,84
1999_2005,08CS001,40059,59
1999_2005,51CS015,51109,236
1999_2005,08CS001,48211,40
1999_2005,19CS017,46037,81
1999_2005,42CS028,42131,262
1999_2005,27CS010,38039,44
1999_2005,05CS026,05047,195
1999_2005,08CS001,48337,294
1999_2005,54CS006,21159,99
1999_2005,08CS001,56039,54
1999_2005,50CS001,50009,64
1999_2005,22CS012,22093,170
1999_2005,27CS010,38069,69
1999_2005,08CS001,48197,45
1999_2005,47CS029,47057,225
1999_2005,17CS044,19037,148
1999_2005,08CS001,56041,104
1999_2005,21CS021,47067,77
1999_2005,19CS017,19077,130
1999_2005,28CS003,01063,120
1999_2005,19CS017,31077,32
1999_2005,32CS001,16063,35
1999_2005,08CS001,35003,31
1999_2005,08CS001,48129,62
1999_2005,19CS017,27023,125
1999_2005,08CS001,08055,88
1999_2005,08CS001,48393,12
1999_2005,12CS016,13061,61
1999_2005,08CS001,08097,35
1999_2005,08CS001,30075,18
1999_2005,08CS001,48045,20
1999_2005,20CS018,20071,14
1999_2005,02CS001,02013,14
1999_2005,16CS001,30069,2
1999_2005,32CS001,16025,3
1999_2005,10CS002,10003,4171
1999_2005,06CS029,06071,11400
1999_2005,54CS006,54011,1165
1999_2005,47CS024,13313,673
1999_2005,36CS042,36103,11061
1999_2005,32CS001,06023,1230
1999_2005,47CS040,28141,257
1999_2005,19CS017,19013,1133
1999_2005,48CS029,48001,584
1999_2005,29CS038,29045,80
1999_2005,28CS003,28067,666
1999_2005,42CS024,42059,444
1999_2005,34CS013,34025,5215
1999_2005,41CS013,41039,2817
1999_2005,08CS001,08083,255
1999_2005,05CS026,05019,261
1999_2005,11CS001,11001,5673
1999_2005,29CS038,17099,1223
1999_2005,39CS028,39109,924
1999_2005,47CS040,28143,94
1999_2005,28CS003,01027,160
1999_2005,17CS003,17201,2405
1999_2005,37CS059,37085,721
1999_2005,NA,09011,2165
1999_2005,42CS014,42029,3136
1999_2005,13CS041,01109,321
1999_2005,42CS024,39009,449
1999_2005,28CS003,01091,269
1999_2005,41CS016,53015,947
1999_2005,06CS026,06065,12540
1999_2005,51CS015,51083,442
1999_2005,36CS028,42089,1133
1999_2005,12CS029,12081,3226
