cluster,deaths,S,I,period
C1142,978,0.8774888027400354,0.8136487887642646,1999_2004
C1143,986,0.8838341239832296,0.8354581551306881,1999_2004
C1144,1030,0.8760542935243661,0.8221854912763845,1999_2004
C1145,978,0.8830027475629493,0.8117726429414659,1999_2004
C1146,1013,0.8781380065077,0.8360213030223372,1999_2004
C1147,1006,0.8765320601243435,0.8188500506087887,1999_2004
C1148,985,0.8704042876652324,0.8081036692837699,1999_2004
C1149,994,0.8877935621778963,0.8354359197445007,1999_2004
C115,10836,0.8795442089661616,0.8220142624601702,1999_2004
C1150,997,0.8888591551987959,0.8285531164877425,1999_2004
C1151,993,0.8777535396313977,0.8287963043837165,1999_2004
C1152,1045,0.88180581946384,0.8132593010042415,1999_2004
C1153,1035,0.8845293939181779,0.8186319526627116,1999_2004
C1154,1063,0.8819941078029575,0.8281863192975789,1999_2004
C1155,1014,0.8813008414738046,0.8292325240345365,1999_2004
C1156,975,0.8786640368178829,0.8192081689677927,1999_2004
C1157,1005,0.880744536026336,0.8301805210247619,1999_2004
C1158,977,0.8842099087612845,0.8225975872422944,1999_2004
C1159,1052,0.8796570718096258,0.8285076553479831,1999_2004
C116,10687,0.8801644773324939,0.8207604775743279,1999_2004
C1160,1369,0.8820917733321738,0.8235366950005765,1999_2004
C1161,986,0.8807010109072655,0.8231304473692395,1999_2004
C1162,994,0.8875405349602646,0.8362306787293883,1999_2004
C1163,982,0.890364649225779,0.840617505053376,1999_2004
C1164,1067,0.8810695579843109,0.8123729859196002,1999_2004
C1165,1016,0.8895603416206833,0.8391992187499654,1999_2004
C1166,1009,0.8744039030293267,0.806435546874967,1999_2004
C1167,999,0.8730592454316176,0.8181935050037578,1999_2004
C1168,982,0.8671006840024722,0.7951750520749945,1999_2004
C1169,962,0.8797485315156833,0.8341659597197603,1999_2004
C117,10566,0.8797415336081515,0.8230430021087065,1999_2004
C1170,983,0.8759408417150563,0.7992225212525074,1999_2004
C1171,1046,0.8792266999111611,0.8290550595237898,1999_2004
C1172,1364,0.8850145337587396,0.8412637174211337,1999_2004
C1173,978,0.8783419273087684,0.8093324183903471,1999_2004
C1174,1060,0.8786383054467781,0.8156560481176299,1999_2004
C1175,1019,0.8853433439815248,0.838375015770439,1999_2004
C1176,989,0.8898960353575885,0.8466161242603775,1999_2004
C1177,957,0.8729452125841706,0.8051744286703495,1999_2004
C1178,1029,0.8662358182201106,0.784031221303944,1999_2004
C1179,950,0.8789030470914129,0.8242748962539556,1999_2004
C118,10374,0.8803785835991856,0.8209919524222533,1999_2004
C1180,928,0.8767626895065398,0.8300995252008903,1999_2004
C1181,981,0.8761847165460778,0.8105995233399286,1999_2004
C1182,952,0.8797467516418331,0.8067222222222126,1999_2004
C1183,1003,0.8821372373408191,0.8270934694039077,1999_2004
