period,cluster,age_bucket,detail_mcod_age
1999_2006,C1013,0-44,50.35487728188493
1999_2006,C1013,45-64,56.28793947839233
1999_2006,C1013,65-79,53.30948216117638
1999_2006,C1013,80+,59.93605190574668
1999_2006,C1014,0-44,56.140441998870784
1999_2006,C1014,45-64,57.95087462484879
1999_2006,C1014,65-79,58.61184543811878
1999_2006,C1014,80+,60.193160252937396
1999_2006,C1015,0-44,48.766603139403415
1999_2006,C1015,45-64,54.49528716076786
1999_2006,C1015,65-79,53.31072926500416
1999_2006,C1015,80+,59.215361509450496
1999_2006,C1016,0-44,42.05422204492709
1999_2006,C1016,45-64,58.33992680015096
1999_2006,C1016,65-79,52.85034339072878
1999_2006,C1016,80+,56.75723472843527
1999_2006,C1017,0-44,48.501635583499244
1999_2006,C1017,45-64,53.492698223133495
1999_2006,C1017,65-79,53.9421361097426
1999_2006,C1017,80+,58.34203033013768
1999_2006,C1018,0-44,44.72794306311612
1999_2006,C1018,45-64,53.26578883185033
1999_2006,C1018,65-79,54.470894720540244
1999_2006,C1018,80+,56.4352346228112
1999_2006,C1019,0-44,50.72572880397387
1999_2006,C1019,45-64,53.60591223299291
1999_2006,C1019,65-79,56.1631663202663
1999_2006,C1019,80+,59.34718198480745
1999_2006,C102,0-44,52.81267735984255
1999_2006,C102,45-64,61.20476984444146
1999_2006,C102,65-79,61.80197806595235
1999_2006,C102,80+,61.860349779392394
1999_2006,C1020,0-44,51.988343044027346
1999_2006,C1020,45-64,55.17201419595591
1999_2006,C1020,65-79,52.464920156306874
1999_2006,C1020,80+,60.083247869069965
1999_2006,C1021,0-44,40.54691625103895
1999_2006,C1021,45-64,57.749569185245434
1999_2006,C1021,65-79,55.500496921238664
1999_2006,C1021,80+,56.68860103827552
1999_2006,C1022,0-44,49.74068250196417
1999_2006,C1022,45-64,55.48411476690008
1999_2006,C1022,65-79,50.03529209114666
1999_2006,C1022,80+,55.3973349770485
1999_2006,C1023,0-44,47.20012459472354
1999_2006,C1023,45-64,53.69255515273192
1999_2006,C1023,65-79,53.102571325580335
1999_2006,C1023,80+,57.503518182083354
1999_2006,C1024,0-44,49.05552844089933
1999_2006,C1024,45-64,53.245377531876784
1999_2006,C1024,65-79,52.89624634664113
1999_2006,C1024,80+,55.22717562804836
1999_2006,C1025,0-44,48.11667561286543
1999_2006,C1025,45-64,50.44698472284612
1999_2006,C1025,65-79,56.19813577446835
1999_2006,C1025,80+,57.33860141990824
1999_2006,C1026,0-44,46.96696463811894
1999_2006,C1026,45-64,51.08262233756213
1999_2006,C1026,65-79,51.6977003364615
1999_2006,C1026,80+,55.443291121542686
1999_2006,C1027,0-44,48.54345676128923
1999_2006,C1027,45-64,54.53857827408537
1999_2006,C1027,65-79,55.22559612892317
1999_2006,C1027,80+,58.16631998895676
1999_2006,C1028,0-44,48.28864532427843
1999_2006,C1028,45-64,54.0208559168702
1999_2006,C1028,65-79,50.12677343877496
1999_2006,C1028,80+,57.31810291543889
1999_2006,C1029,0-44,44.47214242855819
1999_2006,C1029,45-64,53.24799431937298
1999_2006,C1029,65-79,54.61484500398189
1999_2006,C1029,80+,59.25480608022517
1999_2006,C103,0-44,59.42510553134389
1999_2006,C103,45-64,62.07651849611803
1999_2006,C103,65-79,56.17171912000952
1999_2006,C103,80+,58.03422194923458
1999_2006,C1030,0-44,56.54963527951391
1999_2006,C1030,45-64,59.315422249025374
1999_2006,C1030,65-79,57.76564455015633
