period,cluster,detail_ucod_root3,detail_ucod_gbdl3,detail_mcod
1999_2006,C153,56.047879353900235,64.59423366248667,61.54685978195254
1999_2006,C154,56.06844913878106,44.83564155806421,61.49504612411848
1999_2006,C155,56.18182198623213,60.310571035706865,61.63965756202463
1999_2006,C156,55.053773339426044,52.0887952493673,61.69093354866861
1999_2006,C157,55.785777407029705,45.12442808541649,60.550120584204656
1999_2006,C158,55.2425244976087,55.26038330956329,60.755771398580315
1999_2006,C159,56.10089140431208,40.203031248820075,61.67451330311063
1999_2006,C16,55.77844066584176,56.77537917597941,61.95135535261663
1999_2006,C160,56.06471775724638,69.99719635976726,60.32148089339199
1999_2006,C161,55.30965104153199,55.13775404342811,60.99141742590572
1999_2006,C162,54.724901980206965,42.36957692776869,61.35722221335212
1999_2006,C163,55.917665255526714,65.78749238999835,61.05437740029294
1999_2006,C164,56.2549691231432,43.188959036980464,61.47496260906209
1999_2006,C165,55.53885550392002,59.91556706386704,61.76457080719236
1999_2006,C166,56.21162828906732,51.52309472865301,61.961072694402
1999_2006,C167,56.21568485787365,40.203031248820075,61.3665682873023
1999_2006,C168,54.702473213355844,63.17166359654933,61.663989771935405
1999_2006,C169,55.89305441074049,62.26280561124216,60.76643979005493
1999_2006,C17,55.53018523569737,45.363199594270945,62.11102260857697
1999_2006,C170,55.975239961272194,62.25467505239655,61.662331891910526
1999_2006,C171,54.821853378113495,43.994777935821396,61.79805203899311
1999_2006,C172,55.32921905409528,59.530661707732804,61.21736186100049
1999_2006,C173,55.76298803478833,47.927017196151816,61.22487210724991
1999_2006,C174,55.135880974112474,47.03646424669737,61.31304318541351
1999_2006,C175,55.64569796020986,54.67050064918359,60.65495036278497
1999_2006,C176,55.44795935500508,61.76927575180503,61.06371151310916
1999_2006,C177,55.76214075249146,67.66057088353071,61.13059042331323
1999_2006,C178,55.952541915859165,63.65754907290408,60.78229533846655
1999_2006,C179,56.52827532230841,51.0272498719374,61.61830801983825
1999_2006,C18,55.58615355771023,54.08647267336597,62.18951169317003
1999_2006,C180,55.79181428986594,37.61191615327829,61.23579876807958
1999_2006,C181,56.33385896316563,67.6605708835307,60.72301043766837
1999_2006,C182,55.51519933516988,59.67471572149342,61.01951215463359
1999_2006,C183,55.33948979140632,63.93047694621083,60.86032350771462
1999_2006,C184,55.484158563160385,42.45855943889945,60.801095933287016
1999_2006,C185,55.63630969864131,56.89880801470841,60.9686330718358
1999_2006,C186,54.28278431344958,62.14322065438535,60.31486725648876
1999_2006,C187,56.00519075328794,54.03378052575229,61.36587752315509
1999_2006,C188,56.4783702006306,67.70794070695241,60.36636006555063
1999_2006,C189,55.75152229903205,61.447235169751856,60.82281576180802
1999_2006,C19,55.58877154371619,55.80487080514365,62.25798497136319
1999_2006,C190,55.59257230369966,52.22963383120411,60.641686886443466
1999_2006,C191,56.074085934075164,59.12537991489759,61.218181175221225
1999_2006,C192,55.12731250707083,27.17511573550546,60.72188905598436
1999_2006,C193,55.093713804207006,56.12507478354285,60.72468286561778
1999_2006,C194,55.8224834580985,68.9950404567121,61.31918429040374
1999_2006,C195,55.708862088205784,51.669865945362574,61.70450152507085
1999_2006,C196,54.434734842802726,54.85376958268603,60.40296467328563
1999_2006,C197,56.1396182230961,56.48842901039559,61.09259967040585
1999_2006,C198,56.096387446304725,51.825288125292786,60.8059503159536
1999_2006,C199,55.573287676112116,44.6514092317206,60.674232912478374
1999_2006,C2,55.417284834569976,57.188532346164955,62.40459788559146
1999_2006,C20,55.348497674790956,53.287205573573,62.31058260595436
1999_2006,C200,55.771541019727394,54.3137649834274,60.846839943367705
1999_2006,C201,55.490822557123,60.77266474915604,61.053059520517344
1999_2006,C202,54.72382383344858,62.48927618186253,60.82860304709401
1999_2006,C203,55.48966910852385,58.98371523494445,62.167561595864925
1999_2006,C204,55.10135464576947,61.268122237897856,61.47647199625912
1999_2006,C205,54.42130170426288,40.289356725699896,59.92654944151066
1999_2006,C206,56.12897783700785,57.44986221300126,62.25627883450547
1999_2006,C207,56.21053736769645,47.110811520819084,61.25041430921023
1999_2006,C208,56.92731000484742,53.304074295035576,61.79214779675103
1999_2006,C209,55.09308435178349,51.1163893863868,61.3732292373084
1999_2006,C21,55.85181373343978,59.550999970430915,62.653093881417874
1999_2006,C210,55.75159884682512,66.27671770842494,60.6710651229642
1999_2006,C211,56.404105267004894,60.790677434970135,60.20528386918664
1999_2006,C212,55.0067004346659,52.94280691088085,60.30150002464656
1999_2006,C213,55.24697616876883,54.16938281385362,60.03776947060953
1999_2006,C214,55.78354573303623,62.71467894449453,60.68533957769451
1999_2006,C215,56.28539818540437,44.64342414061523,60.351499930039935
1999_2006,C216,54.97642677274473,51.501362161319065,60.872567374002045
1999_2006,C217,56.06731667723601,48.80343091576251,60.44579057251606
1999_2006,C218,55.45141904922223,38.16019491407121,59.85893879351558
1999_2006,C219,56.27830673535695,40.04082376807266,61.7329261247262
1999_2006,C22,55.95756387271148,57.65684174146589,61.92907710167277
1999_2006,C220,56.48024004872521,55.1499373247862,60.30151048521927
1999_2006,C221,56.55531375320964,52.62381861719772,60.38824409558226
1999_2006,C222,56.17055270662934,46.47051531092286,60.16993942362063
1999_2006,C223,55.69797357303297,57.036846239223046,61.872784693681524
1999_2006,C224,55.6896185688677,47.65956105968424,60.60470715883474
1999_2006,C225,55.55229522296996,49.51793200382816,61.61736070918488
1999_2006,C226,55.65886081697413,46.48414262252133,61.498419509357845
1999_2006,C227,55.54916117330737,33.59401649997233,61.92419736895571
1999_2006,C228,55.20064190479637,63.89492602378268,60.33277990513124
1999_2006,C229,55.8594469354794,64.11849463920048,59.75515937464981
1999_2006,C23,55.25373216462961,60.755109983172176,62.00624499358901
1999_2006,C230,55.80776445305834,55.187388003443964,60.27188260884925
1999_2006,C231,56.09302652549032,54.75438997752547,61.8781742956785
1999_2006,C232,55.44918326486015,63.772926488891436,61.270807676435496
1999_2006,C233,55.274695444905824,49.24673586097877,60.58298764353036
1999_2006,C234,56.196894777780834,64.85358716922093,60.817466723391796
1999_2006,C235,56.04842600920711,64.85358716922094,61.11249529420197
1999_2006,C236,56.466867984007244,35.87858326585284,61.02281361936605
1999_2006,C237,55.361612490433785,42.68175682626081,61.525338306141705
1999_2006,C238,55.8020500059514,61.93568786240349,61.1847348743149
1999_2006,C239,55.72112184971576,42.10736515046859,60.875256583711334
1999_2006,C24,56.061973209703346,61.983272898432844,62.298208619280636
1999_2006,C240,55.96369938398738,59.463247226114525,60.52159916936416
1999_2006,C241,54.94930344531493,54.24083366459943,60.14576118463491
1999_2006,C242,56.01421295184577,48.0974237805036,60.99484736532361
1999_2006,C243,55.64598693821497,44.6514092317206,60.150490864315536
1999_2006,C244,55.20134263542764,61.111982551735316,61.4310670936872
