period,cluster,age_bucket,detail_ucod_age
1999_2006,C1011,45-64,53.72444144677752
1999_2006,C1011,65-79,47.46003275919628
1999_2006,C1011,80+,55.614009307463576
1999_2006,C1012,0-44,51.653954221795296
1999_2006,C1012,45-64,53.85107600783813
1999_2006,C1012,65-79,54.26759895305678
1999_2006,C1012,80+,55.8731562637413
1999_2006,C1013,0-44,52.15857508964762
1999_2006,C1013,45-64,53.581513275546314
1999_2006,C1013,65-79,51.72074615888376
1999_2006,C1013,80+,56.482381766517115
1999_2006,C1014,0-44,59.340687790469794
1999_2006,C1014,45-64,52.99591062166707
1999_2006,C1014,65-79,52.44439924118827
1999_2006,C1014,80+,55.46250724667127
1999_2006,C1015,0-44,58.47290571429965
1999_2006,C1015,45-64,52.45735689585678
1999_2006,C1015,65-79,51.297716805864475
1999_2006,C1015,80+,56.77457886063134
1999_2006,C1016,0-44,52.91040882587169
1999_2006,C1016,45-64,51.9106976940075
1999_2006,C1016,65-79,49.66243360411873
1999_2006,C1016,80+,53.0628488046878
1999_2006,C1017,0-44,52.205903492183026
1999_2006,C1017,45-64,50.67612170632437
1999_2006,C1017,65-79,47.54414123077148
1999_2006,C1017,80+,52.2623533569351
1999_2006,C1018,0-44,52.386693553969366
1999_2006,C1018,45-64,44.06126558108959
1999_2006,C1018,65-79,47.01178403746656
1999_2006,C1018,80+,49.53004333711309
1999_2006,C1019,0-44,53.28529830903711
1999_2006,C1019,45-64,48.25048256370816
1999_2006,C1019,65-79,48.32780525390368
1999_2006,C1019,80+,55.46574141987234
1999_2006,C102,0-44,65.45752481176693
1999_2006,C102,45-64,62.179330712172344
1999_2006,C102,65-79,56.54295451517974
1999_2006,C102,80+,58.840579020339916
1999_2006,C1020,0-44,57.125749978415705
1999_2006,C1020,45-64,52.300212619864546
1999_2006,C1020,65-79,51.22572779956113
1999_2006,C1020,80+,56.78035282753574
1999_2006,C1021,0-44,48.844626866760755
1999_2006,C1021,45-64,51.33307898138596
1999_2006,C1021,65-79,51.931672590625816
1999_2006,C1021,80+,54.288907799780674
1999_2006,C1022,0-44,53.83862403811033
1999_2006,C1022,45-64,49.30777599252489
1999_2006,C1022,65-79,48.927053249812396
1999_2006,C1022,80+,52.40538170876119
1999_2006,C1023,0-44,52.851108442790895
1999_2006,C1023,45-64,52.30474028756501
1999_2006,C1023,65-79,48.96822496018383
1999_2006,C1023,80+,54.77015025386707
1999_2006,C1024,0-44,48.70173479086762
1999_2006,C1024,45-64,47.9392328289639
1999_2006,C1024,65-79,47.01896705967528
1999_2006,C1024,80+,51.043392521350675
1999_2006,C1025,0-44,52.97116557829142
1999_2006,C1025,45-64,45.9909040048019
1999_2006,C1025,65-79,48.42587214360144
1999_2006,C1025,80+,53.95496759363897
1999_2006,C1026,0-44,46.499275924207495
1999_2006,C1026,45-64,49.73007199851844
1999_2006,C1026,65-79,46.854369617816374
1999_2006,C1026,80+,53.573087074689354
1999_2006,C1027,0-44,54.05691598811567
1999_2006,C1027,45-64,51.20439584845443
1999_2006,C1027,65-79,49.608640532457066
1999_2006,C1027,80+,55.69957666563593
1999_2006,C1028,0-44,52.74587495994789
1999_2006,C1028,45-64,49.74833290508129
1999_2006,C1028,65-79,47.99178200270842
1999_2006,C1028,80+,50.088971433605785
1999_2006,C1029,0-44,53.235887639103815
1999_2006,C1029,45-64,50.049596720502116
1999_2006,C1029,65-79,48.18843862079709
1999_2006,C1029,80+,52.632587961636105
1999_2006,C103,0-44,62.577118902350946
1999_2006,C103,45-64,58.52128646280995
1999_2006,C103,65-79,51.14780212191932
1999_2006,C103,80+,52.51776745977752
1999_2006,C1030,0-44,57.46241524513053
1999_2006,C1030,45-64,49.893865222171314
1999_2006,C1030,65-79,46.927491022238556
1999_2006,C1030,80+,54.10172825236382
1999_2006,C1031,0-44,53.32977252249303
1999_2006,C1031,45-64,54.42653305269611
1999_2006,C1031,65-79,51.578561641371664
1999_2006,C1031,80+,54.953919235120566
1999_2006,C1032,0-44,55.816427212058414
1999_2006,C1032,45-64,52.6474808072165
1999_2006,C1032,65-79,51.44082716178294
1999_2006,C1032,80+,57.30396815367201
1999_2006,C1033,0-44,54.25417816405085
1999_2006,C1033,45-64,48.10615949931423
1999_2006,C1033,65-79,49.09600178038087
1999_2006,C1033,80+,53.87190181945614
1999_2006,C1034,0-44,55.349577908159596
1999_2006,C1034,45-64,52.466290642269996
1999_2006,C1034,65-79,51.55563099220877
1999_2006,C1034,80+,54.881797916801915
1999_2006,C1035,0-44,56.222016443308384
1999_2006,C1035,45-64,48.292037629248725
1999_2006,C1035,65-79,46.61526497188368
1999_2006,C1035,80+,53.880379603392726
1999_2006,C1036,0-44,50.89695122150859
1999_2006,C1036,45-64,44.11969530971594
1999_2006,C1036,65-79,47.76512563766838
1999_2006,C1036,80+,52.59524985745591
