fips,cluster,period
29143,C1619,1999_2004
42049,C162,1999_2004
19011,C1620,1999_2004
48457,C1621,1999_2004
50019,C1622,1999_2004
05067,C1623,1999_2004
19183,C1624,1999_2004
20041,C1625,1999_2004
20059,C1626,1999_2004
16087,C1627,1999_2004
41045,C1627,1999_2004
05015,C1628,1999_2004
12133,C1629,1999_2004
06091,C163,1999_2004
32029,C163,1999_2004
32031,C163,1999_2004
13111,C1630,1999_2004
17101,C1631,1999_2004
21051,C1632,1999_2004
56029,C1633,1999_2004
13195,C1634,1999_2004
36123,C1635,1999_2004
17193,C1636,1999_2004
27059,C1637,1999_2004
50017,C1638,1999_2004
18075,C1639,1999_2004
45019,C164,1999_2004
05071,C1640,1999_2004
23021,C1641,1999_2004
37115,C1642,1999_2004
47081,C1643,1999_2004
48273,C1644,1999_2004
51023,C1645,1999_2004
05149,C1646,1999_2004
18031,C1647,1999_2004
28051,C1648,1999_2004
39067,C1649,1999_2004
20091,C165,1999_2004
55125,C1650,1999_2004
17015,C1651,1999_2004
18129,C1652,1999_2004
21167,C1653,1999_2004
45001,C1654,1999_2004
05135,C1655,1999_2004
18087,C1656,1999_2004
29015,C1657,1999_2004
13227,C1658,1999_2004
22003,C1659,1999_2004
17119,C166,1999_2004
39175,C1660,1999_2004
45011,C1661,1999_2004
49045,C1662,1999_2004
27081,C1663,1999_2004
27083,C1663,1999_2004
27095,C1664,1999_2004
47075,C1665,1999_2004
48025,C1666,1999_2004
04023,C1667,1999_2004
19167,C1668,1999_2004
41061,C1669,1999_2004
37067,C167,1999_2004
42093,C1670,1999_2004
53037,C1671,1999_2004
37033,C1672,1999_2004
51077,C1673,1999_2004
54041,C1674,1999_2004
38059,C1675,1999_2004
01067,C1676,1999_2004
05029,C1677,1999_2004
17127,C1678,1999_2004
21231,C1679,1999_2004
55133,C168,1999_2004
22049,C1680,1999_2004
24029,C1681,1999_2004
05037,C1682,1999_2004
05075,C1683,1999_2004
13033,C1684,1999_2004
13311,C1685,1999_2004
22075,C1686,1999_2004
26009,C1687,1999_2004
26127,C1688,1999_2004
27129,C1689,1999_2004
41067,C169,1999_2004
29039,C1690,1999_2004
29219,C1691,1999_2004
37185,C1692,1999_2004
38089,C1693,1999_2004
38093,C1694,1999_2004
13091,C1695,1999_2004
26071,C1696,1999_2004
26133,C1697,1999_2004
51025,C1698,1999_2004
51690,C1699,1999_2004
12043,C17,1999_2004
12099,C17,1999_2004
18003,C170,1999_2004
12049,C1700,1999_2004
13225,C1701,1999_2004
17033,C1702,1999_2004
17053,C1703,1999_2004
19023,C1704,1999_2004
26029,C1705,1999_2004
55001,C1706,1999_2004
55067,C1707,1999_2004
17085,C1708,1999_2004
19043,C1709,1999_2004
55025,C171,1999_2004
22013,C1710,1999_2004
51053,C1711,1999_2004
21209,C1712,1999_2004
08087,C1713,1999_2004
08089,C1714,1999_2004
47151,C1715,1999_2004
48387,C1716,1999_2004
19017,C1717,1999_2004
19021,C1718,1999_2004
29013,C1719,1999_2004
33011,C172,1999_2004
48145,C1720,1999_2004
48161,C1721,1999_2004
13105,C1722,1999_2004
17133,C1723,1999_2004
21017,C1724,1999_2004
48323,C1725,1999_2004
51570,C1726,1999_2004
54103,C1727,1999_2004
06063,C1728,1999_2004
13123,C1729,1999_2004
22017,C173,1999_2004
22081,C173,1999_2004
48315,C173,1999_2004
18049,C1730,1999_2004
47139,C1731,1999_2004
13291,C1732,1999_2004
17067,C1733,1999_2004
19029,C1734,1999_2004
51147,C1735,1999_2004
17041,C1736,1999_2004
28025,C1737,1999_2004
28039,C1738,1999_2004
30053,C1739,1999_2004
06107,C174,1999_2004
35055,C1740,1999_2004
40001,C1741,1999_2004
48177,C1742,1999_2004
19145,C1743,1999_2004
21173,C1744,1999_2004
45061,C1745,1999_2004
51193,C1746,1999_2004
12059,C1747,1999_2004
29001,C1748,1999_2004
29211,C1748,1999_2004
47091,C1749,1999_2004
39017,C175,1999_2004
17187,C1750,1999_2004
26137,C1751,1999_2004
29119,C1752,1999_2004
40023,C1753,1999_2004
42067,C1754,1999_2004
06027,C1755,1999_2004
13207,C1756,1999_2004
17039,C1757,1999_2004
21185,C1758,1999_2004
29121,C1759,1999_2004
41005,C176,1999_2004
48463,C1760,1999_2004
55053,C1761,1999_2004
01007,C1762,1999_2004
18165,C1763,1999_2004
12123,C1764,1999_2004
17023,C1765,1999_2004
29229,C1766,1999_2004
35051,C1767,1999_2004
45037,C1768,1999_2004
48395,C1769,1999_2004
17163,C177,1999_2004
01065,C1770,1999_2004
20055,C1771,1999_2004
29177,C1772,1999_2004
46029,C1773,1999_2004
51071,C1774,1999_2004
51103,C1775,1999_2004
12079,C1776,1999_2004
27043,C1777,1999_2004
27127,C1778,1999_2004
55093,C1779,1999_2004
34001,C178,1999_2004
05121,C1780,1999_2004
13017,C1781,1999_2004
13267,C1782,1999_2004
19097,C1783,1999_2004
31047,C1784,1999_2004
01057,C1785,1999_2004
27153,C1786,1999_2004
28017,C1787,1999_2004
28159,C1788,1999_2004
13303,C1789,1999_2004
12117,C179,1999_2004
17083,C1790,1999_2004
19123,C1791,1999_2004
20061,C1792,1999_2004
21045,C1793,1999_2004
29049,C1794,1999_2004
47057,C1795,1999_2004
48219,C1796,1999_2004
48407,C1797,1999_2004
37121,C1798,1999_2004
47041,C1799,1999_2004
06065,C18,1999_2004
13135,C180,1999_2004
49007,C1800,1999_2004
51033,C1801,1999_2004
51135,C1802,1999_2004
19171,C1803,1999_2004
22127,C1804,1999_2004
29157,C1805,1999_2004
51081,C1806,1999_2004
17149,C1807,1999_2004
17191,C1808,1999_2004
18117,C1809,1999_2004
45083,C181,1999_2004
22037,C1810,1999_2004
29117,C1811,1999_2004
32001,C1812,1999_2004
46035,C1813,1999_2004
47061,C1814,1999_2004
19197,C1815,1999_2004
45081,C1816,1999_2004
16057,C1817,1999_2004
20139,C1818,1999_2004
46005,C1819,1999_2004
36071,C182,1999_2004
46135,C1820,1999_2004
28031,C1821,1999_2004
47049,C1822,1999_2004
05141,C1823,1999_2004
13039,C1824,1999_2004
18045,C1825,1999_2004
19067,C1826,1999_2004
55061,C1827,1999_2004
13145,C1828,1999_2004
19157,C1829,1999_2004
36065,C183,1999_2004
12003,C1830,1999_2004
46093,C1831,1999_2004
13321,C1832,1999_2004
17139,C1833,1999_2004
22007,C1834,1999_2004
31025,C1835,1999_2004
32007,C1836,1999_2004
18119,C1837,1999_2004
19191,C1838,1999_2004
28153,C1839,1999_2004
39093,C184,1999_2004
47005,C1840,1999_2004
55049,C1841,1999_2004
16075,C1842,1999_2004
19085,C1843,1999_2004
19087,C1844,1999_2004
20005,C1845,1999_2004
53075,C1846,1999_2004
27159,C1847,1999_2004
29065,C1848,1999_2004
29223,C1849,1999_2004
22023,C185,1999_2004
48245,C185,1999_2004
47111,C1850,1999_2004
26089,C1851,1999_2004
28023,C1852,1999_2004
38105,C1853,1999_2004
48487,C1854,1999_2004
55099,C1855,1999_2004
06035,C1856,1999_2004
22029,C1857,1999_2004
40035,C1858,1999_2004
41001,C1859,1999_2004
06095,C186,1999_2004
54027,C1860,1999_2004
21155,C1861,1999_2004
49047,C1862,1999_2004
19047,C1863,1999_2004
20011,C1864,1999_2004
45009,C1865,1999_2004
48093,C1866,1999_2004
19007,C1867,1999_2004
21099,C1868,1999_2004
48253,C1869,1999_2004
45017,C187,1999_2004
45079,C187,1999_2004
01075,C1870,1999_2004
05047,C1871,1999_2004
19105,C1872,1999_2004
20001,C1873,1999_2004
51141,C1874,1999_2004
21027,C1875,1999_2004
37041,C1876,1999_2004
39111,C1877,1999_2004
41013,C1878,1999_2004
54001,C1879,1999_2004
42095,C188,1999_2004
13027,C1880,1999_2004
19019,C1881,1999_2004
21003,C1882,1999_2004
21081,C1883,1999_2004
27103,C1884,1999_2004
40075,C1885,1999_2004
47085,C1886,1999_2004
01119,C1887,1999_2004
17125,C1888,1999_2004
40063,C1889,1999_2004
41047,C189,1999_2004
19041,C1890,1999_2004
05043,C1891,1999_2004
20133,C1892,1999_2004
21203,C1893,1999_2004
27079,C1894,1999_2004
