cluster,deaths,S_raw,I_raw,S_rare,I_rare,S_resid,I_resid,period
C170,8002,0.8977229886479893,0.6471358016441229,0.906504275183259,0.6553117899012573,3.068494752974515e-4,0.0019411170998903378,2018_2022
C1700,609,0.8895683521129419,0.6209309895833223,NA,NA,-0.006764308776428212,-0.021157824839850254,2018_2022
C1701,658,0.8958296763703217,0.6437640916103036,0.8966925486709194,0.6453460241919601,-5.355062064561392e-4,0.0015820513802450617,2018_2022
C1702,566,0.9002859319007603,0.6464197530864229,NA,NA,0.003984039626980533,0.0044191391609432465,2018_2022
C1703,586,0.8907209169588464,0.6321981152750444,NA,NA,-0.0055955664913473445,-0.009844325329892118,2018_2022
C1704,638,0.9090614282485431,0.6765594181459558,0.9068092761654656,0.6716006664103592,0.012709217832159874,0.03441456356695793,2018_2022
C1705,598,0.8920370018232459,0.627395503244308,NA,NA,-0.004287999555865602,-0.014671354629831032,2018_2022
C1706,589,0.897783645267943,0.6486298803943649,NA,NA,0.001465016120887695,0.006581288991693132,2018_2022
C1707,613,0.8949647256692277,0.638973763288807,NA,NA,-0.00137068629718762,-0.0031229372988848033,2018_2022
C1708,584,0.897881872771627,0.64782329862683,NA,NA,0.0015668258869557463,0.005784976042532861,2018_2022
C1709,576,0.8913302951388888,0.6301691910432607,NA,NA,-0.0049789559462649945,-0.01185251745580186,2018_2022
C171,7806,0.8977867987395336,0.6451516179304816,0.9051085079765511,0.6520858121507149,3.810964082816695e-4,-1.3148640787957987e-5,2018_2022
C1710,588,0.8938000370216113,0.6387626962142204,NA,NA,-0.0025178781078181705,-0.0032838484044555834,2018_2022
C1711,635,0.8985603571207144,0.6518005895168573,0.8970544142430288,0.6497984057641673,0.002210127476407724,0.009661412966578548,2018_2022
C1712,566,0.8985191474484635,0.6395473251028831,NA,NA,0.0022172551746837,-0.002453288822596462,2018_2022
C1713,638,0.8918053085170153,0.615549999999995,0.890122103783046,0.616323059836184,-0.004546901899367868,-0.0265948545790028,2018_2022
C1714,570,0.888808864265928,0.624566792690599,NA,NA,-0.007495986988680946,-0.017442303370874847,2018_2022
C1715,620,0.8895889698231011,0.6276298866752452,NA,NA,-0.006751213681094665,-0.014480491876141732,2018_2022
C1716,596,0.9044525021395433,0.6708989867215693,NA,NA,0.00812890849849822,0.0288361642320484,2018_2022
C1717,589,0.9034967615105457,0.6619262245364484,NA,NA,0.007178132363490428,0.019877633133776714,2018_2022
C1718,575,0.8996839319470697,0.6603563155938068,NA,NA,0.003375410980554311,0.018336700033475633,2018_2022
C1719,630,0.9010178886369361,0.6597275704606266,0.9027201952006285,0.6605712131209374,0.0046709811352857525,0.01759791707640747,2018_2022
C172,7932,0.8974787649127517,0.6464896799888473,0.8966305145728435,0.6497666666666649,6.632354625539593e-5,0.0013055954778161338,2018_2022
C1720,598,0.8974731826265926,0.6428744967374789,NA,NA,0.0011481812474811335,8.076388633398006e-4,2018_2022
C1721,602,0.8967229942274368,0.6440464803202632,NA,NA,3.951914184201477e-4,0.0019715919414312194,2018_2022
C1722,579,0.9012322478455796,0.6595937354037342,NA,NA,0.004920813972701727,0.017565769783253297,2018_2022
C1723,652,0.8941953027964921,0.6363586859281103,0.8936373693406808,0.6359333333333282,-0.002166029936775033,-0.005812318442609875,2018_2022
C1724,627,0.8918141373442305,0.6367880917159782,0.8918797365618635,0.6336048293620337,-0.004530764212608977,-0.005335811480029172,2018_2022
C1725,609,0.9110523321496652,0.669024058185544,NA,NA,0.014719671260295037,0.02693524376237148,2018_2022
C1726,605,0.9018946793251826,0.6515747334112716,NA,NA,0.005564787612178866,0.009493857035652658,2018_2022
C1727,591,0.9016407992418711,0.6613136574073997,NA,NA,0.005320745683001331,0.019260982823585383,2018_2022
C1728,550,0.8997685950413224,0.6553033930224439,NA,NA,0.003478751197714323,0.013337316807458283,2018_2022
