period,cluster,ucod_age_0-44,ucod_age_45-64,ucod_age_65-79,ucod_age_80+
1999_2006,C1053,49.96181454935051,51.98924477567088,50.61311053210034,53.952665308170886
1999_2006,C1054,53.773808371182206,51.91446455691373,49.12796279891763,54.310858566200515
1999_2006,C1055,53.12295963633327,46.308993806045684,45.157742814542594,50.57950623131282
1999_2006,C1056,48.497609692068664,48.83875258273113,49.21434962519472,52.5154873681072
1999_2006,C1057,53.544629185839796,50.12303892850018,46.886629310008225,54.510673272703606
1999_2006,C1058,51.61245858294242,51.109966540131914,45.43308018912306,49.02521043866802
1999_2006,C1059,54.013284670456265,47.89011244927233,49.465910662538136,57.36275973750563
1999_2006,C106,67.295459691504945,55.9564421637543,51.91527606322564,56.78467989900249
1999_2006,C1060,53.409079654245936,50.756834421723156,47.260923408888544,51.24685814760782
1999_2006,C1061,50.55135768975464,51.20014711001383,50.79121934652917,53.315272043507996
1999_2006,C1062,54.298352682969345,54.67239312719009,51.90622820049766,57.426267125324536
1999_2006,C1063,51.91312623425964,47.8862258620752,47.84702394335422,49.614167075089284
1999_2006,C1064,57.20440993817338,48.211918697168954,52.123899740324944,56.934417820287166
1999_2006,C1065,51.1001460559181,48.07892565379134,44.893177245666145,52.587382755263675
1999_2006,C1066,51.897800412741894,49.180291998718225,48.761722748370076,54.741768089023836
1999_2006,C1067,57.99400997094878,48.42733488642008,45.96357084601422,53.90924988511853
1999_2006,C1068,57.515415279706794,46.62575595590737,46.49126584499463,52.69057457023171
1999_2006,C1069,51.274418858959926,47.68983593889665,49.26281945606044,53.383230179752005
1999_2006,C107,63.70498641571015,55.67518391711276,50.69100644237595,50.00389507068482
1999_2006,C1070,48.42780485875078,52.07183369570012,49.14977861259888,54.573827175999476
1999_2006,C1071,53.554962420032254,48.3822296031311,42.293730309513556,49.678332624433224
1999_2006,C1072,53.325280820740836,48.81810745055,50.046254656652515,55.03378079324049
1999_2006,C1073,50.45681234986747,51.66858819596187,47.67747759668057,51.03962587176583
1999_2006,C1074,52.22186365925329,51.27385846779665,46.66475442333075,54.539841780163805
1999_2006,C1075,51.54478636623448,48.716578662261036,50.82614746706857,55.45897867784442
1999_2006,C1076,52.438202901385665,50.56976726660607,47.726829081417165,52.755829723732525
1999_2006,C1077,47.41265260215532,48.15107273026098,46.76377195959057,52.46898907282423
1999_2006,C1078,55.392621164072935,53.9494434314398,51.4395540803229,55.197093756750625
1999_2006,C1079,54.296975250352205,53.271880391714994,51.12753273146195,55.9567550869427
1999_2006,C108,67.99278609153342,58.71415551365582,56.06574764351196,59.29721043644317
1999_2006,C1080,51.82929906380143,54.63094717915685,50.59962789342836,56.07499338362504
1999_2006,C1081,48.63115808340152,54.16830095847379,50.085631369805235,56.51424691364745
1999_2006,C1082,53.455644308482256,50.55128071867061,46.172173955918204,52.34077324026174
1999_2006,C1083,52.86465043390177,45.96159595426848,47.870174362434206,51.707430847614425
1999_2006,C1084,52.05286400169838,47.99670274079065,46.458442700390776,52.64644679008953
1999_2006,C1085,51.392534448035065,48.672119210761586,48.58923336671304,51.78007474491326
1999_2006,C1086,51.386256896637995,48.447639411183644,47.95482941773796,52.0078483285454
1999_2006,C1087,51.13066464770208,48.27000914639049,48.849063804751445,50.9064332391514
1999_2006,C1088,52.61203483222506,49.13059536750955,48.1871498563643,51.82860667319676
1999_2006,C1089,49.857642874791956,49.04813954176818,47.34120029214157,52.054233202445296
1999_2006,C109,61.693739765276796,54.69150392539127,51.849474063552144,53.27427124325091
1999_2006,C1090,53.676546813080236,47.628896754797886,47.78983568891551,54.977843230017655
1999_2006,C1091,53.35198884131683,46.35440255143339,48.88001130751179,52.2362565005913
1999_2006,C1092,49.081417098904666,51.35870715807684,48.46520343634778,51.06182394299511
1999_2006,C1093,54.01758497006843,51.11200466251027,50.815555833346316,55.972134541093396
1999_2006,C1094,52.943946372916884,48.45709631907324,48.42984910969321,51.82662558601095
1999_2006,C1095,48.90595208689674,48.218246200157004,46.41808709111659,48.59091713373622
1999_2006,C1096,48.34515680372197,48.45894955941675,49.277432575605886,51.018911829212804
1999_2006,C1097,51.71218341283004,46.98155590250845,47.835378044903734,49.68661394039203
1999_2006,C1098,50.0572514810917,46.91559689603404,47.12057208893305,50.97640230554668
1999_2006,C1099,53.304884387623424,46.38417997771428,47.35734677828039,53.132876169588386
1999_2006,C11,66.35540796095958,59.41364255914352,52.2802342965249,52.24625271462368
1999_2006,C110,68.90067116373388,60.840666336738195,56.3722679844827,59.68263790972976
1999_2006,C1100,46.45220201179956,46.90793096722044,45.87806987011043,51.510182115245634
1999_2006,C1101,52.966161330923946,50.98257272992975,49.35551761957302,52.74529180536979
1999_2006,C1102,54.14804797566049,52.23981626253782,44.91595145200595,48.36763719218122
1999_2006,C1103,46.98558913108652,47.651833898308304,46.273695091696624,51.30665221792088
1999_2006,C1104,53.19914582318765,52.009612290242885,48.547126209121565,56.04494291891095
1999_2006,C1105,50.16412415871277,51.25599261565068,50.871514084845685,53.15659623808909
1999_2006,C1106,50.68775270153018,52.77512263027557,49.57070259276905,54.22682455524794
1999_2006,C1107,52.99681086022874,48.37984988243328,46.102540683492464,50.87117754761491
1999_2006,C1108,54.270755709024016,50.57252675710655,49.608006019893566,55.043505240275614
1999_2006,C1109,55.82645590635442,52.33713476474288,49.27429579653394,54.989826915116
1999_2006,C111,68.81541271672805,60.8451776197783,53.60039612512685,60.003385261121146
1999_2006,C1110,52.643292287777136,48.47632374915707,48.92778775417534,54.92319749062997
1999_2006,C1111,51.94685548827066,48.352851703705376,49.90768889759375,52.52407677834139
1999_2006,C1112,46.66876580322795,47.71685501808704,48.25615073189835,51.29639316439936
1999_2006,C1113,52.99489146309897,50.09294864250693,48.044072983510965,52.1423277389164
1999_2006,C1114,57.96886583612918,56.732762702075426,55.47342358131445,60.96606365788003
1999_2006,C1115,50.02659411673449,49.11329491124605,49.42713449323762,53.090923989165525
1999_2006,C1116,54.2964238019352,50.23162503562601,50.642217422955156,53.221088448835964
1999_2006,C1117,49.20710330615058,46.49185113869779,47.96979224706955,49.887775839640426
1999_2006,C1118,53.79284971473667,50.610517959587135,49.58013140223447,52.50752739020104
1999_2006,C1119,50.482914951589706,53.05642144832484,49.73368885266331,55.69967348525725
1999_2006,C112,64.41829715149716,56.70677209921934,53.20652634641694,54.58121100861637
1999_2006,C1120,54.55045208514627,48.54267068606664,47.457746239526934,50.92802196172466
1999_2006,C1121,52.379592097079154,47.56587024550665,48.95408676715544,51.448154320322004
1999_2006,C1122,47.246224401103525,46.504681631761954,50.46094585755398,53.74878071580893
1999_2006,C1123,54.39302009038307,47.91763574606104,43.92052798405141,50.33644964806572
1999_2006,C1124,50.8743321489593,47.847321692965515,50.627963565232356,53.670220900177135
1999_2006,C1125,53.91999301362914,53.96690955388834,47.88952156031591,53.557076421992996
1999_2006,C1126,51.36777304404035,49.06550626756712,48.00526102113404,52.85007158765959
1999_2006,C1127,49.585286912212375,44.47039197840229,47.28624221901795,49.037965437695206
1999_2006,C1128,49.4468053103258,50.46189672958306,48.077109998797255,55.68727022268797
1999_2006,C1129,51.13310846964858,51.396779922003354,49.17338322203139,53.69758207882424
1999_2006,C113,65.54165266916112,57.28990872224609,52.81778164700472,55.73192877536358
1999_2006,C1130,51.843248689404696,47.73719898774174,51.33235525968687,53.71874152825103
1999_2006,C1131,45.59235607161562,52.25109436054182,47.71276185999945,53.01282159973295
1999_2006,C1132,52.89707415153922,51.92011637238634,48.85145001457591,54.16096028181621
1999_2006,C1133,49.77893195238879,48.35199011713233,48.09899265916954,51.09749615705865
1999_2006,C1134,52.82122534534006,54.58603363364625,49.34406316691537,58.36858909092131
1999_2006,C1135,56.81324736054476,51.926843129000865,51.44874844936703,57.90282267103604
1999_2006,C1136,54.933390498904295,49.15905675380582,47.888094338786686,53.07970966335098
1999_2006,C1137,52.62892594006204,50.03152985670519,51.71718362382068,54.753343892259714
1999_2006,C1138,53.70142242662393,49.245637934430626,47.77373698729539,53.43660584076655
1999_2006,C1139,54.44935159518247,46.86570391110009,48.50139398705503,54.01475045238745
1999_2006,C114,65.15709311528815,57.102762123784416,53.534663528607254,55.347056183183206
1999_2006,C1140,46.52543961673119,50.7300036989958,50.38170034646943,55.647448043717795
1999_2006,C1141,50.41048723108095,49.90033291276891,48.97263785669353,50.74485585850565
1999_2006,C1142,45.417261690598444,47.49778828296372,46.01278397791244,50.16140313883675
1999_2006,C1143,45.58932042119005,46.84019716675931,48.50453713382073,51.77054536044442
1999_2006,C1144,53.56482573193637,50.8812286558001,45.940341350348426,51.77317925126038
1999_2006,C1145,56.32783089804426,57.18366323771414,48.973236715045886,56.476868910178986
1999_2006,C1146,52.85925706005761,48.1674716143519,46.258488814949544,53.87906058427223
1999_2006,C1147,50.038604381051705,50.046137461053696,49.34752725626875,54.27668803653269
1999_2006,C1148,52.335206287698306,52.18502641616486,47.845917372948094,54.134107045155126
1999_2006,C1149,51.45269459704851,51.10368493838648,50.189810695604564,53.948031362879775
