stable_fips,DQ_prop_garbage,prop_light,pct_overd_miss,prop_all_comp,n_cert,iso_score,lof_score,km_cluster,iso_rank,lof_rank,anomaly_flag
19131,0.2455534698595699,0.2855256433160472,0.08333333333333331,0.7861897260717812,26.25,0.5889811505630641,1.2764346495010779,2,1215,965,FALSE
19133,0.1988820077675718,0.31729378612207787,0.18055555555555552,0.7868881646432702,32.9,0.5845348568520167,1.3515289092360476,2,2088,695,FALSE
19135,0.21522998452060704,0.29886257528603366,0.16666666666666669,0.7905227937655473,20.35,0.5820092041712446,1.139707289634908,2,4344,2101,FALSE
19137,0.23771917896116088,0.3023159581047969,0.0909090909090909,0.7898818278149512,29.7,0.5824819313741509,1.0588671554860345,2,3399,3127,FALSE
19139,0.20501765992738497,0.31240731532534644,0.25,0.788718312249899,83.05,0.5836654299094041,1.1852684454789855,2,2458,1626,FALSE
19141,0.211850680672836,0.31279212156219627,0,0.7865840891041849,39.3,0.5846930735640845,1.059241983826785,2,2037,3123,FALSE
19143,0.2065935939635905,0.2816351248909174,0,0.7930178727934146,15.8,0.5962786258304388,1.3756342072691405,2,777,613,FALSE
19145,0.21721313313264615,0.32369468869733253,0.14285714285714288,0.7824542991658742,43.3,0.5892202970368885,1.507648924440987,2,1187,349,FALSE
19147,0.24207015068522655,0.2921460396010821,0.125,0.788001868737014,26.35,0.5829550425417899,1.1693626199344962,2,2921,1790,FALSE
19149,0.22765908336633112,0.2957378922815079,0.23484848484848483,0.7865364516079709,48.3,0.5828761640030672,1.1048269453572095,2,2980,2516,FALSE
19151,0.209734609541752,0.2915712806567554,0.25,0.7963469707537045,20.8,0.5862775979567023,1.4466034704273691,2,1606,448,FALSE
19153,0.2230196983040401,0.3057536177593741,0.16858462722273465,0.787345287991114,665.15,0.5820879653874056,1.0324822839179382,2,4191,3512,FALSE
19155,0.21586198756779032,0.3057634032853429,0.24968671679197993,0.7880468507103391,188.25,0.5823243129924944,1.0347560498054935,2,3662,3478,FALSE
19157,0.24925593422656,0.31094157361507596,0.041666666666666664,0.7885768156615591,46.05,0.5861189524756769,1.1126018119863226,2,1649,2414,FALSE
19159,0.25753303419966717,0.30919093725049657,0.125,0.7897586964334256,16.15,0.582718438942893,1.1140470949107686,2,3131,2388,FALSE
