cluster,domain_code,incidence,p,contr_nats,contr_frac,H_cluster,rank,domain_label,period,family
C87,S09,106,0.01980938142403289,0.07768446314429436,0.017944456850818268,4.329162135701641,9,NA,1999_2006,mcod_root3
C87,W80,77,0.014389833675948422,0.06103064200471627,0.014097564399681427,4.329162135701641,10,NA,1999_2006,mcod_root3
C88,I25,843,0.12963247731816085,0.26484588295834705,0.06124615949478533,4.324285557544171,1,NA,1999_2006,mcod_root3
C88,J44,484,0.07442718745194525,0.19335691940301702,0.0447141884665053,4.324285557544171,2,NA,1999_2006,mcod_root3
C88,F03,370,0.0568968168537598,0.16309562915968417,0.03771620236206341,4.324285557544171,3,NA,1999_2006,mcod_root3
C88,I48,291,0.044748577579578654,0.13902020999892648,0.03214871176959881,4.324285557544171,4,NA,1999_2006,mcod_root3
C88,N18,225,0.0345994156543134,0.11638961391274252,0.026915339508439398,4.324285557544171,5,NA,1999_2006,mcod_root3
C88,I21,172,0.026449331077964017,0.09607784079679843,0.022218199866375736,4.324285557544171,6,NA,1999_2006,mcod_root3
C88,E11,158,0.024296478548362293,0.09032030894434341,0.0208867586893678,4.324285557544171,7,NA,1999_2006,mcod_root3
C88,G30,139,0.021374750115331385,0.08219756246480793,0.019008356726443663,4.324285557544171,8,NA,1999_2006,mcod_root3
C88,S09,125,0.019221897585729664,0.07595927169319643,0.01756573905270374,4.324285557544171,9,NA,1999_2006,mcod_root3
C88,T14,115,0.01768414577887129,0.07135706248549571,0.016501468632432428,4.324285557544171,10,NA,1999_2006,mcod_root3
C89,I25,846,0.13559865363038948,0.27093368076596575,0.062221674432178374,4.3543296325347765,1,NA,1999_2006,mcod_root3
C89,J44,451,0.07228722551690976,0.18990633779872684,0.04361322036342413,4.3543296325347765,2,NA,1999_2006,mcod_root3
C89,F03,329,0.05273280974515147,0.15516721240625764,0.03563515523649745,4.3543296325347765,3,NA,1999_2006,mcod_root3
C89,I48,276,0.044237858631190896,0.1379413550384106,0.03167912553237526,4.3543296325347765,4,NA,1999_2006,mcod_root3
C89,N18,201,0.03221670139445424,0.11067307695053596,0.025416788872299978,4.3543296325347765,5,NA,1999_2006,mcod_root3
C89,I21,155,0.024843724955922422,0.09180129213891466,0.021082761271216523,4.3543296325347765,6,NA,1999_2006,mcod_root3
C89,E11,151,0.024202596569963136,0.09006501020190338,0.02068401287972175,4.3543296325347765,7,NA,1999_2006,mcod_root3
C89,G30,143,0.02292033979804456,0.08654102746348384,0.019874707421520105,4.3543296325347765,8,NA,1999_2006,mcod_root3
C89,S09,108,0.017310466420900786,0.07021893704416561,0.016126233650181697,4.3543296325347765,9,NA,1999_2006,mcod_root3
C89,T14,103,0.016509055938451676,0.06775062654267648,0.015559370158027507,4.3543296325347765,10,NA,1999_2006,mcod_root3
C9,I25,2380,0.1344632768361582,0.269795744718273,0.06157934850525046,4.381269878086958,1,NA,1999_2006,mcod_root3
C9,J44,1312,0.07412429378531074,0.19287229814485576,0.04402200811904144,4.381269878086958,2,NA,1999_2006,mcod_root3
