cluster,deaths_no_garbage,S,f1,f2,H_raw,detail_phillips_raw,detail_phillips_refsize,D1_mref,D1_eff_used,m_ref,m_max,eff_m_used,used_extrapolation,fallback_reason,period,unit,unit_id
C407,7961,345,104,49,4.08115977434842,60.094635357541826,59.07106342788187,NA,55.23775781158264,2000,15922,2000,FALSE,ok,2015_2022,cluster,C407
C408,2977,250,94,39,4.045057183055776,59.56302861358871,59.15869895418448,NA,55.56748680101791,2000,5954,2000,FALSE,ok,2015_2022,cluster,C408
C409,5961,315,115,43,4.060054816745121,59.7838671442074,58.906053694901864,NA,54.62220916846998,2000,11922,2000,FALSE,ok,2015_2022,cluster,C409
C41,10088,385,132,44,4.076183744654365,60.02136385960342,58.87670297961794,NA,54.51344068281982,2000,20176,2000,FALSE,ok,2015_2022,cluster,C41
C410,2727,231,86,37,4.072300342715779,59.9641811869443,59.65649733365317,NA,57.47814857734222,2000,5454,2000,FALSE,ok,2015_2022,cluster,C410
C411,4216,272,91,50,4.080365446968232,60.08293897295847,59.43003638891494,NA,56.6009283235042,2000,8432,2000,FALSE,ok,2015_2022,cluster,C411
C412,5095,300,103,48,4.093168426434146,60.27146145799572,59.4759274150147,NA,56.77760374827574,2000,10190,2000,FALSE,ok,2015_2022,cluster,C412
C413,2758,231,89,27,4.0683385706531565,59.90584452270258,59.59073266703085,NA,57.222010692180774,2000,5516,2000,FALSE,ok,2015_2022,cluster,C413
C414,3505,256,83,49,4.044355087551142,59.55269033337672,59.03263506599617,NA,55.09378873183509,2000,7010,2000,FALSE,ok,2015_2022,cluster,C414
C415,2915,246,92,42,4.052765369114294,59.676530817880305,59.293542048196784,NA,56.078682744576895,2000,5830,2000,FALSE,ok,2015_2022,cluster,C415
C416,3502,255,101,28,4.038079363700545,59.46028097984523,58.941478208336854,NA,54.7537751336691,2000,7004,2000,FALSE,ok,2015_2022,cluster,C416
C417,4151,274,97,44,4.052713955395085,59.675773756437216,59.02654803578868,NA,55.071018564230144,2000,8302,2000,FALSE,ok,2015_2022,cluster,C417
C418,3564,254,89,35,4.08507127805229,60.15223182564905,59.62934529908553,NA,57.37225912711172,2000,7128,2000,FALSE,ok,2015_2022,cluster,C418
C419,2709,234,100,30,4.04888719976361,59.61942519451094,59.307622488614264,NA,56.132332728496316,2000,5418,2000,FALSE,ok,2015_2022,cluster,C419
C42,10039,362,105,48,4.111808403875635,60.545933105604256,59.45425252780907,NA,56.69408918786499,2000,20078,2000,FALSE,ok,2015_2022,cluster,C42
C420,2932,236,104,17,4.022708807316188,59.233951202960185,58.8615966494385,NA,54.457543784915565,2000,5864,2000,FALSE,ok,2015_2022,cluster,C420
C421,2944,239,93,32,4.0124703708603615,59.08319133579902,58.705015569713325,NA,53.88152296800832,2000,5888,2000,FALSE,ok,2015_2022,cluster,C421
C422,3124,253,93,44,4.0644239951085295,59.84820282207314,59.40407655645975,NA,56.501229379031706,2000,6248,2000,FALSE,ok,2015_2022,cluster,C422
C423,2468,229,90,35,3.9958720760218003,58.83878324323921,58.61539608031729,NA,53.55458205047821,2000,4936,2000,FALSE,ok,2015_2022,cluster,C423
C424,3130,243,93,40,4.02469989800509,59.26326979755808,58.83558764165723,NA,54.36143873027924,2000,6260,2000,FALSE,ok,2015_2022,cluster,C424
C426,2820,232,98,25,4.025805699079376,59.279552598529236,58.941211927923774,NA,54.75278499218561,2000,5640,2000,FALSE,ok,2015_2022,cluster,C426
C427,2841,244,98,31,4.0478354961583545,59.60393897290813,59.242923817802904,NA,55.88623784542258,2000,5682,2000,FALSE,ok,2015_2022,cluster,C427
C428,2427,228,98,40,3.9751841229344134,58.534155376206265,58.323168397194465,NA,52.502223964671586,2000,4854,2000,FALSE,ok,2015_2022,cluster,C428
C429,2612,222,88,34,4.013552418883575,59.09912437566751,58.835146053124866,NA,54.359808495665725,2000,5224,2000,FALSE,ok,2015_2022,cluster,C429
C43,9796,362,98,61,4.101902878206136,60.40007531369059,59.30514337277313,NA,56.12288295833841,2000,19592,2000,FALSE,ok,2015_2022,cluster,C43
C430,2849,237,94,36,4.040861950200495,59.50125426447779,59.1485245468445,NA,55.52910478907555,2000,5698,2000,FALSE,ok,2015_2022,cluster,C430
C431,2968,242,96,43,4.038166236902202,59.46156017832424,59.069468883721555,NA,55.23177649249378,2000,5936,2000,FALSE,ok,2015_2022,cluster,C431
C432,3147,248,83,42,4.07759649725991,60.04216648860468,59.60685451985543,NA,57.284695706486055,2000,6294,2000,FALSE,ok,2015_2022,cluster,C432
C433,2895,228,81,44,4.001403581533911,58.92023406239554,58.57253619083914,NA,53.39892683574594,2000,5790,2000,FALSE,ok,2015_2022,cluster,C433
C434,4007,276,102,44,4.056062514129626,59.72508092088355,59.086363403080426,NA,55.295182719702325,2000,8014,2000,FALSE,ok,2015_2022,cluster,C434
C435,3787,281,113,43,4.0798291172297,60.07504157568649,59.449502605590105,NA,56.67580388623647,2000,7574,2000,FALSE,ok,2015_2022,cluster,C435
C436,2703,245,107,34,4.032140099691722,59.37282596101804,59.0461147228792,NA,55.14424651533724,2000,5406,2000,FALSE,ok,2015_2022,cluster,C436
C437,3593,263,100,41,4.043699969440279,59.54304379019655,58.990617437931306,NA,54.93680213304538,2000,7186,2000,FALSE,ok,2015_2022,cluster,C437
C438,2976,251,98,41,4.06899044119119,59.91544324572481,59.507562975665365,NA,56.89971821007106,2000,5952,2000,FALSE,ok,2015_2022,cluster,C438
C439,4419,276,97,39,4.041849376329824,59.51579400721403,58.836436461803046,NA,54.36457249964976,2000,8838,2000,FALSE,ok,2015_2022,cluster,C439
C44,9544,357,101,48,4.093720202550376,60.27958630150521,59.2023910747856,NA,55.73261310366891,2000,19088,2000,FALSE,ok,2015_2022,cluster,C44
C440,3301,258,85,48,4.124496926074508,60.73277021978931,60.246407409466904,NA,59.82759147882529,2000,6602,2000,FALSE,ok,2015_2022,cluster,C440
C441,3756,261,83,47,4.0567198416999695,59.734759998115116,59.166885244557434,NA,55.59838808475838,2000,7512,2000,FALSE,ok,2015_2022,cluster,C441
C442,5164,291,95,44,4.060685356323131,59.79315177115515,59.01719041604964,NA,55.03603223278803,2000,10328,2000,FALSE,ok,2015_2022,cluster,C442
C443,2824,238,89,47,4.055467895987713,59.716325233189124,59.3691124916042,NA,56.36722709635798,2000,5648,2000,FALSE,ok,2015_2022,cluster,C443
C444,4186,274,91,46,4.064149420055071,59.84415973416965,59.19206467285093,NA,55.69354214655237,2000,8372,2000,FALSE,ok,2015_2022,cluster,C444
C445,2690,231,89,36,4.03367163597936,59.39537766686424,59.096667327759505,NA,55.33388974767213,2000,5380,2000,FALSE,ok,2015_2022,cluster,C445
C447,2447,233,94,37,4.062820973424101,59.82459850150684,59.60408693201055,NA,57.27392988671007,2000,4894,2000,FALSE,ok,2015_2022,cluster,C447
C448,2689,234,97,32,3.9991689975682094,58.887330055686796,58.58250523463286,NA,53.43509120935968,2000,5378,2000,FALSE,ok,2015_2022,cluster,C448
C449,2792,227,79,42,3.989719391311986,58.748185627720666,58.429265272173595,NA,52.88188299163158,2000,5584,2000,FALSE,ok,2015_2022,cluster,C449
C45,10323,374,115,55,4.0845989753366405,60.14527721934971,59.0253989147766,NA,55.06672102527385,2000,20646,2000,FALSE,ok,2015_2022,cluster,C45
C450,2759,234,99,32,3.999981145678094,58.89928884858351,58.57226004789498,NA,53.39792542948865,2000,5518,2000,FALSE,ok,2015_2022,cluster,C450
C451,2272,230,97,40,4.083438475673689,60.12818898758874,59.98193216793376,NA,58.76261486883167,2000,4544,2000,FALSE,ok,2015_2022,cluster,C451
C452,2148,217,94,35,3.942739621349129,58.05641360672699,57.9755574475281,NA,51.27731750563828,2000,4296,2000,FALSE,ok,2015_2022,cluster,C452
C453,3906,260,81,48,4.040419288302461,59.49473611600532,58.909314843012154,NA,54.63430778663186,2000,7812,2000,FALSE,ok,2015_2022,cluster,C453
C454,2944,250,105,35,4.0725150173116536,59.96734224710193,59.56757684734326,NA,57.13209619221859,2000,5888,2000,FALSE,ok,2015_2022,cluster,C454
C455,2834,221,79,36,3.9684039350397686,58.43431784430044,58.113594598281956,NA,51.760272202806476,2000,5668,2000,FALSE,ok,2015_2022,cluster,C455
C456,6259,313,105,47,4.068260531342579,59.90469540231229,59.019869790351855,NA,55.04604762382513,2000,12518,2000,FALSE,ok,2015_2022,cluster,C456
