cluster,domain_code,n,p,contr_nats,contr_frac,H_cluster,rank,domain_label,period,family
C502,F03,184,0.06797192463982268,0.18275343106353087,0.04708560173273585,3.8813018064601508,3,NA,2007_2014,ucod_root3
C502,J44,183,0.06760251200591061,0.18212861286643411,0.04692462012701357,3.8813018064601508,4,NA,2007_2014,ucod_root3
C502,I21,167,0.061691909863317324,0.17184913693830448,0.04427615926498522,3.8813018064601508,5,NA,2007_2014,ucod_root3
C502,G30,131,0.04839305504248245,0.14655347787222853,0.03775884617586313,3.8813018064601508,6,NA,2007_2014,ucod_root3
C502,C25,71,0.026228297007757664,0.09549503704938381,0.024603867931743705,3.8813018064601508,7,NA,2007_2014,ucod_root3
C502,C50,62,0.022903583302548946,0.08649450982020354,0.022284922464993466,3.8813018064601508,8,NA,2007_2014,ucod_root3
C502,I11,52,0.01920945696342815,0.07592254661755059,0.019561103568700302,3.8813018064601508,9,NA,2007_2014,ucod_root3
C502,C18,46,0.01699298115995567,0.0692456317265458,0.01784082639780585,3.8813018064601508,10,NA,2007_2014,ucod_root3
C503,I25,680,0.1418735656165241,0.27705339467407586,0.06924597605383925,4.0010035306407525,1,NA,2007_2014,ucod_root3
C503,C34,441,0.09200918005424577,0.21952165936935913,0.05486664975129457,4.0010035306407525,2,NA,2007_2014,ucod_root3
C503,J44,327,0.0682244940538285,0.18317946639720373,0.04578338034304806,4.0010035306407525,3,NA,2007_2014,ucod_root3
C503,I21,305,0.06363446693094095,0.17528750404306842,0.04381088461948857,4.0010035306407525,4,NA,2007_2014,ucod_root3
C503,F03,280,0.05841852701856875,0.16591575524250093,0.041468535074231705,4.0010035306407525,5,NA,2007_2014,ucod_root3
C503,G30,218,0.04548299603588567,0.1405614121695761,0.03513153914839597,4.0010035306407525,6,NA,2007_2014,ucod_root3
C503,C50,126,0.026288337158355934,0.09565352940084025,0.023907384402013145,4.0010035306407525,7,NA,2007_2014,ucod_root3
C503,C18,116,0.024201961193407052,0.09006328114629228,0.022510172874521017,4.0010035306407525,8,NA,2007_2014,ucod_root3
C503,C25,97,0.020237846860004172,0.07893166693170375,0.019727967328002586,4.0010035306407525,9,NA,2007_2014,ucod_root3
C503,C61,88,0.01836010849155018,0.073395910421858,0.01834437531978478,4.0010035306407525,10,NA,2007_2014,ucod_root3
C504,I25,386,0.15066354410616706,0.2851618109347594,0.07233789828218924,3.942080399161539,1,NA,2007_2014,ucod_root3
C504,C34,220,0.0858704137392662,0.21080464712839578,0.053475481416673507,3.942080399161539,2,NA,2007_2014,ucod_root3
C504,J44,177,0.06908665105386416,0.18462673447668404,0.046834847537851644,3.942080399161539,3,NA,2007_2014,ucod_root3
C504,I21,164,0.06401249024199844,0.1759496631380667,0.04463370741385445,3.942080399161539,4,NA,2007_2014,ucod_root3
C504,F03,156,0.06088992974238876,0.17041188373626628,0.04322892140213884,3.942080399161539,5,NA,2007_2014,ucod_root3
