period,cluster,mcod_age_0-44,mcod_age_45-64,mcod_age_65-79,mcod_age_80+
1999_2006,C1072,52.15376796585878,55.98296602136677,55.039628591657454,59.70595882857098
1999_2006,C1073,47.06807195230387,54.122001242543384,51.50209594886253,57.470071246496495
1999_2006,C1074,47.0899374267828,53.9748113639498,55.66124018626994,60.6054467519717
1999_2006,C1075,46.127059307981,54.976138680594616,55.82565053335941,56.99967035899927
1999_2006,C1076,51.91161407701262,55.44433390658279,55.14808274033622,56.939501408937524
1999_2006,C1077,48.72813576988453,55.48293067603915,52.74580136178204,56.90559510194526
1999_2006,C1078,52.92063694786402,56.705662135795436,56.13395097696974,57.63856494016662
1999_2006,C1079,47.358972390223364,56.81448087023522,53.214708008014625,58.48641500436611
1999_2006,C108,58.0220119335669,66.49636143286376,61.092295718955185,62.74134890792754
1999_2006,C1080,48.824685065118814,55.76726985808404,55.31514974186437,60.0146162047744
1999_2006,C1081,41.77911947129681,53.384976665385715,50.040559320779124,59.26612924463026
1999_2006,C1082,49.10767688481186,55.019949916750406,53.82033115876547,56.73537281942274
1999_2006,C1083,39.70115685803221,55.138023184195845,59.0401630143509,58.996535423144216
1999_2006,C1084,50.17745687797033,54.1535046124709,52.68671295604105,58.275054384621725
1999_2006,C1085,46.62457326789646,55.59064079052126,52.176821364735986,58.77311596608212
1999_2006,C1086,47.223165543982525,55.32053874824659,50.94088335303775,60.47794440277047
1999_2006,C1087,47.33489320159556,51.041541012514166,51.2125041736677,53.1884625593725
1999_2006,C1088,49.999304966060315,55.23245470389753,54.30136158874596,57.786792057903675
1999_2006,C1089,46.690755846818455,52.58768326323386,53.584833480033716,57.03211035556902
1999_2006,C109,56.95316633707888,63.64565070638517,57.85310059857797,58.64617025577068
1999_2006,C1090,48.61714536248076,57.68561818440021,51.279767254459685,58.30586542978809
1999_2006,C1091,43.302459779183515,52.08545357642289,54.037051473765864,57.871006107981835
1999_2006,C1092,42.7157034361457,55.57542957765773,54.64567845740739,58.4714387367585
1999_2006,C1093,49.537734712548975,57.65901309729548,52.87971406865948,60.13010703292832
1999_2006,C1094,52.89125641348642,56.26900842302769,50.28405205765651,56.87118313565754
1999_2006,C1095,44.43497800386126,56.08297992908466,51.13757768334967,59.985480313686075
1999_2006,C1096,46.96576881126848,53.1295865417213,51.2333055159014,57.83576955285182
1999_2006,C1097,47.0476938514063,53.856422376019836,52.00137132686565,52.2686974325537
1999_2006,C1098,49.57024034192757,53.407014976950855,53.37015196252835,56.3161915952464
1999_2006,C1099,45.205319933417805,49.877384622998484,51.798135829559165,56.056291368616606
1999_2006,C11,58.41711961357398,62.49197752156682,57.2922573606945,59.74526255230322
1999_2006,C110,58.482112077751516,61.70313623528617,59.387254647346104,61.322105258928694
1999_2006,C1100,43.34140794414733,54.149992842650526,54.2650120785156,56.38550864299222
1999_2006,C1101,52.50664140355213,54.70533957447439,54.24196595342658,56.34773601705735
1999_2006,C1102,50.122845211890905,54.08062168806373,55.95508203032735,57.77666816677924
1999_2006,C1103,47.16219646437913,51.8083290985788,53.23812531577933,55.818399009515645
1999_2006,C1104,51.3630565467519,56.05732230438213,55.61522970182932,58.775154327305685
1999_2006,C1105,45.58192279520858,55.31446603634806,56.58632531495984,59.477050461928656
1999_2006,C1106,49.36072188540703,55.19459703697216,53.10399159523761,55.42354607136412
1999_2006,C1107,47.44621861537366,50.486995342384326,52.64289575876278,58.91655118199017
1999_2006,C1108,52.4632425134369,53.12530442531243,50.84530083897153,58.22457265616378
1999_2006,C1109,47.7107082505556,55.974282479292825,53.8994214592079,58.579608837735165
