fips,cluster,period
40079,C809,1999_2004
18039,C334,1999_2004
49013,C2310,1999_2004
13139,C441,1999_2004
23025,C839,1999_2004
45075,C486,1999_2004
34039,C99,1999_2004
28067,C652,1999_2004
26145,C236,1999_2004
36077,C754,1999_2004
21157,C1229,1999_2004
26049,C123,1999_2004
42059,C950,1999_2004
55085,C1115,1999_2004
49039,C1999,1999_2004
42053,C664,1999_2004
45085,C504,1999_2004
17089,C191,1999_2004
39129,C1105,1999_2004
26103,C740,1999_2004
37151,C418,1999_2004
21067,C241,1999_2004
20091,C165,1999_2004
20115,C1914,1999_2004
46099,C445,1999_2004
25021,C72,1999_2004
36063,C199,1999_2004
12079,C1776,1999_2004
42121,C664,1999_2004
53061,C118,1999_2004
41009,C1110,1999_2004
39025,C343,1999_2004
48171,C1341,1999_2004
22061,C1262,1999_2004
48361,C523,1999_2004
01065,C1770,1999_2004
22017,C173,1999_2004
12011,C11,1999_2004
13045,C603,1999_2004
45079,C187,1999_2004
51003,C499,1999_2004
47113,C548,1999_2004
24003,C136,1999_2004
42095,C188,1999_2004
18167,C408,1999_2004
28081,C616,1999_2004
34005,C133,1999_2004
39071,C1041,1999_2004
06081,C96,1999_2004
41039,C159,1999_2004
21009,C1022,1999_2004
23027,C1228,1999_2004
42079,C105,1999_2004
41011,C527,1999_2004
04023,C1667,1999_2004
34021,C154,1999_2004
32019,C1194,1999_2004
48213,C529,1999_2004
22089,C1258,1999_2004
22013,C1710,1999_2004
05143,C377,1999_2004
01079,C1210,1999_2004
06007,C224,1999_2004
34003,C46,1999_2004
08083,C1612,1999_2004
39099,C150,1999_2004
47179,C399,1999_2004
37093,C1595,1999_2004
55011,C2241,1999_2004
05019,C1455,1999_2004
22033,C143,1999_2004
39093,C184,1999_2004
37153,C864,1999_2004
48401,C844,1999_2004
16055,C531,1999_2004
54059,C1274,1999_2004
21035,C1280,1999_2004
48215,C157,1999_2004
16001,C248,1999_2004
45033,C1270,1999_2004
29005,C2461,1999_2004
51009,C1375,1999_2004
39039,C1355,1999_2004
48055,C1450,1999_2004
39057,C406,1999_2004
36075,C454,1999_2004
17163,C177,1999_2004
12083,C134,1999_2004
11001,C71,1999_2004
42051,C260,1999_2004
47145,C758,1999_2004
06003,C79,1999_2004
20155,C722,1999_2004
18015,C2012,1999_2004
21213,C2042,1999_2004
53053,C83,1999_2004
38055,C2309,1999_2004
06015,C1587,1999_2004
36025,C823,1999_2004
27085,C1389,1999_2004
12077,C2068,1999_2004
47131,C1198,1999_2004
48233,C1606,1999_2004
45041,C358,1999_2004
42011,C128,1999_2004
55111,C857,1999_2004
13121,C68,1999_2004
48453,C119,1999_2004
25013,C102,1999_2004
17099,C378,1999_2004
31055,C132,1999_2004
51041,C302,1999_2004
39109,C492,1999_2004
01019,C1421,1999_2004
29157,C1805,1999_2004
48039,C278,1999_2004
18153,C1604,1999_2004
54039,C192,1999_2004
37063,C271,1999_2004
08035,C909,1999_2004
06019,C79,1999_2004
47065,C146,1999_2004
05145,C623,1999_2004
38019,C2201,1999_2004
18163,C244,1999_2004
36007,C222,1999_2004
49049,C276,1999_2004
26087,C753,1999_2004
17201,C196,1999_2004
36021,C627,1999_2004
47059,C615,1999_2004
24013,C388,1999_2004
31157,C995,1999_2004
48103,C2296,1999_2004
26041,C1013,1999_2004
47177,C1020,1999_2004
39061,C40,1999_2004
42071,C107,1999_2004
55101,C307,1999_2004
08071,C1960,1999_2004
